mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,ablation,split_seed,lambda_cost,train_fraction,train_query_count,d2_beta
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,k_lambda,,0.0,,,
0.7448275862068966,0.15172413793103448,0.7448275862068966,0.09558058530974257,semantic_embedding_kmeans,4,0.7086206896551724,0.7836637931034482,1.125000000000001,0.33834586466165445,0.9211426316005453,2.0,1.8822260009593406,k_lambda,,0.0,,,
0.7448275862068966,0.15172413793103448,0.7448275862068966,0.11243480787732416,flat_routecode_utility_oracle,4,0.7051724137931035,0.7793965517241378,1.125000000000001,0.33834586466165445,1.4261821336721034,2.0,1.9087112106553694,k_lambda,,0.0,,,
0.8620689655172413,0.034482758620689655,0.8620689655172413,0.07363604160879705,regret_routecode_utility_oracle,4,0.8335775862068966,0.8913793103448275,2.824999999999999,0.8496240601503757,1.7459756058907376,2.0,1.7459756058907379,k_lambda,,0.0,,,
0.746551724137931,0.15,0.746551724137931,0.0967275520432445,d2_embedding_centroid,4,0.7120689655172414,0.7758620689655172,1.1500000000000001,0.34586466165413543,0.9142202031969058,2.0,1.8130667921964887,k_lambda,,0.0,,,
0.75,0.14655172413793102,0.75,0.08659897969416781,semantic_embedding_kmeans,8,0.7172413793103448,0.7853879310344827,1.2000000000000004,0.3609022556390979,1.3421945714336432,3.0,2.943563075727691,k_lambda,,0.0,,,
0.8310344827586207,0.06551724137931035,0.8310344827586207,0.08579687048484128,flat_routecode_utility_oracle,8,0.8,0.858706896551724,2.375,0.7142857142857143,2.20735875440664,3.0,2.803520435398128,k_lambda,,0.0,,,
0.896551724137931,0.0,0.896551724137931,0.06640383293981021,regret_routecode_utility_oracle,8,0.8741379310344828,0.9198706896551724,3.3249999999999997,1.0,2.164223902755736,3.0,2.327796545177022,k_lambda,,0.0,,,
0.746551724137931,0.15,0.746551724137931,0.09554903473840738,d2_embedding_centroid,8,0.7128879310344828,0.7784913793103448,1.1500000000000001,0.34586466165413543,0.9309506927842303,3.0,2.1616069212299154,k_lambda,,0.0,,,
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.07510981143837671,semantic_embedding_kmeans,16,0.6947413793103449,0.7706896551724138,1.0,0.30075187969924816,1.5017285823575186,4.0,3.6718261897429993,k_lambda,,0.0,,,
0.8896551724137931,0.006896551724137931,0.8896551724137931,0.06420700044869516,flat_routecode_utility_oracle,16,0.8655172413793103,0.9164224137931034,3.2249999999999996,0.9699248120300752,2.3993157398875717,4.0,3.6970741412243635,k_lambda,,0.0,,,
0.896551724137931,0.0,0.896551724137931,0.12561569399339004,regret_routecode_utility_oracle,16,0.8732327586206896,0.9206896551724137,3.3249999999999997,1.0,1.9699315038710599,4.0,3.148244414205935,k_lambda,,0.0,,,
0.746551724137931,0.15,0.746551724137931,0.07448660603153684,d2_embedding_centroid,16,0.7086206896551724,0.7810344827586206,1.1500000000000001,0.34586466165413543,1.5254961390836257,4.0,3.1120056445131263,k_lambda,,0.0,,,
0.7293103448275862,0.16724137931034483,0.7293103448275862,0.059755620866999384,semantic_embedding_kmeans,32,0.6948275862068966,0.7647844827586205,0.8999999999999998,0.2706766917293233,1.5509826662564428,5.0,4.528496992955504,k_lambda,,0.0,,,
0.896551724137931,0.0,0.896551724137931,0.145370647594999,flat_routecode_utility_oracle,32,0.8706896551724138,0.9190517241379309,3.3249999999999997,1.0,1.6728305470372629,5.0,4.459282119989955,k_lambda,,0.0,,,
0.896551724137931,0.0,0.896551724137931,0.12048996701148955,regret_routecode_utility_oracle,32,0.8689655172413793,0.9206896551724137,3.3249999999999997,1.0,1.4311419516567931,5.0,3.6210541276021417,k_lambda,,0.0,,,
0.7241379310344828,0.1724137931034483,0.7241379310344828,0.06646278744469096,d2_embedding_centroid,32,0.6904741379310345,0.753448275862069,0.8250000000000005,0.24812030075187988,1.6703776854276011,5.0,3.6904488784385583,k_lambda,,0.0,,,
0.7310344827586207,0.16551724137931034,0.7310344827586207,0.05593356030030433,semantic_embedding_kmeans,64,0.6939224137931035,0.7637931034482759,0.9250000000000007,0.2781954887218047,1.8190002332590405,6.0,5.320737138264149,k_lambda,,0.0,,,
0.8931034482758621,0.0034482758620689655,0.8931034482758621,0.13201366741591256,flat_routecode_utility_oracle,64,0.8663362068965517,0.9189655172413793,3.2749999999999995,0.9849624060150376,1.2153781995144346,6.0,4.906504168252938,k_lambda,,0.0,,,
0.896551724137931,0.0,0.896551724137931,0.12230284428956181,regret_routecode_utility_oracle,64,0.8697844827586206,0.9189655172413793,3.3249999999999997,1.0,1.2010464840713924,6.0,4.255425326541031,k_lambda,,0.0,,,
0.7275862068965517,0.16896551724137931,0.7275862068965517,0.08420723040589906,d2_embedding_centroid,64,0.6913793103448276,0.7637931034482759,0.8750000000000006,0.2631578947368423,1.845838758657422,6.0,4.969018162860168,k_lambda,,0.0,,,
0.7206896551724138,0.17586206896551723,0.7206896551724138,0.07894679974837134,semantic_embedding_kmeans,128,0.685301724137931,0.7526293103448275,0.7750000000000005,0.23308270676691745,1.7906084585138036,7.0,5.994277058094274,k_lambda,,0.0,,,
0.8931034482758621,0.0034482758620689655,0.8931034482758621,0.13201366741591256,flat_routecode_utility_oracle,128,0.8697844827586206,0.9181465517241378,3.2749999999999995,0.9849624060150376,1.2153781995144346,7.0,4.906504168252938,k_lambda,,0.0,,,
0.896551724137931,0.0,0.896551724137931,0.12230284428956181,regret_routecode_utility_oracle,128,0.8706896551724138,0.9267672413793103,3.3249999999999997,1.0,1.2010464840713924,7.0,4.255425326541031,k_lambda,,0.0,,,
0.7293103448275862,0.16724137931034483,0.7293103448275862,0.08507016104267275,d2_embedding_centroid,128,0.6904741379310345,0.7673275862068965,0.8999999999999998,0.2706766917293233,1.7670151698174117,7.0,5.261360289518844,k_lambda,,0.0,,,
0.6672049509390516,0.22934305892818965,0.6672413793103448,0.16136301943110865,best_single,,0.6327209543938427,0.7034155577502307,0.0,0.0,0.0,0.0,,k_lambda,,0.05,,,
0.7448060084931034,0.15174200137413793,0.7448275862068966,0.09558058530974257,semantic_embedding_kmeans,4,0.7085990336475021,0.7836399591625496,1.2854154713059296,0.3383623551404261,0.9211426316005453,2.0,1.8822260009593406,k_lambda,,0.05,,,
0.770683286443793,0.1258647234234483,0.7706896551724138,0.028210903855763695,flat_routecode_utility_oracle,4,0.7361998549858061,0.8043471763598599,1.714057225446089,0.45119453794824393,1.503659174203248,2.0,1.851650755451688,k_lambda,,0.05,,,
0.8758593582637931,0.02068865160344828,0.8758620689655172,0.012007317358896529,regret_routecode_utility_oracle,4,0.8473680502731638,0.9009026773028103,3.456236445548133,0.9097916819452294,1.3271196815516482,2.0,1.3271196815516484,k_lambda,,0.05,,,
0.746529887491638,0.15001812237560344,0.746551724137931,0.0967275520432445,d2_embedding_centroid,4,0.7120451268383815,0.7758409847055066,1.3139705039977487,0.34587895061356105,0.9142202031969058,2.0,1.8130667921964887,k_lambda,,0.05,,,
0.7448149183712068,0.15173309149603448,0.7448275862068966,0.05611341226575527,semantic_embedding_kmeans,8,0.7059779883144893,0.7792993628765452,1.2855630581497508,0.3384012047055495,1.583660429883842,3.0,2.943563075727691,k_lambda,,0.05,,,
0.8499912764018104,0.04655673346543104,0.85,0.038642028018776864,flat_routecode_utility_oracle,8,0.8206815802191876,0.8741301144790324,3.0277470191606084,0.7969995966609636,2.0759143136505744,3.0,2.8549888053515176,k_lambda,,0.05,,,
0.8965480098672413,0.0,0.896551724137931,0.016452723857590945,regret_routecode_utility_oracle,8,0.8741341675846077,0.9198668579468857,3.798931683084131,1.0,1.5150389984062635,3.0,2.115957866713755,k_lambda,,0.05,,,
0.7465301610839654,0.15001784878327584,0.746551724137931,0.09551564817531469,d2_embedding_centroid,8,0.712865308207666,0.7784702201084417,1.3139750358923081,0.34588014355277075,0.9482038722864342,3.0,2.1616069212299154,k_lambda,,0.05,,,
0.7361899402000862,0.16035806966715518,0.7362068965517241,0.07510981143837671,semantic_embedding_kmeans,16,0.694724388938375,0.7706734364965863,1.1426954126526245,0.3007938831174075,1.5017285823575186,4.0,3.6718261897429993,k_lambda,,0.05,,,
0.889630296943793,0.0069177129234482765,0.8896551724137931,0.1101883176898408,flat_routecode_utility_oracle,16,0.8654894182742651,0.9164008747101334,3.6843438733540945,0.9698368332759778,2.178541735082615,4.0,3.753925761126313,k_lambda,,0.05,,,
0.8965480098672413,0.0,0.896551724137931,0.016452723857590945,regret_routecode_utility_oracle,16,0.8732289801152111,0.9206852437789094,3.798931683084131,1.0,1.3545167223905343,4.0,3.357449317337201,k_lambda,,0.05,,,
0.7465360834232758,0.15001192644396552,0.746551724137931,0.06928206925619049,d2_embedding_centroid,16,0.7086036243881229,0.781019933781125,1.314073135928775,0.3459059666116332,1.549421741421451,4.0,3.1120056445131263,k_lambda,,0.05,,,
