mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,alpha,beta,label_accuracy,mean_confidence,ece,assignment_utility_loss,assignment_embedding_loss,assignment_balance_penalty,assignment_objective
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,,,,,,,,,
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.08625569658638482,kNN,,0.7017241379310345,0.7733189655172413,1.0,0.30075187969924816,2.019798018216054,0.0,,,,,,,,,,
0.6741379310344827,0.22241379310344828,0.6741379310344827,0.14142293538774586,logistic_embedding_router,,0.6344827586206897,0.7103448275862069,0.10000000000000016,0.030075187969924862,1.155182111400025,0.0,,,,,,,,,,
0.896551724137931,0.0,0.896551724137931,0.1348941055476987,query_oracle,,0.8724137931034482,0.9206896551724137,3.3249999999999997,1.0,1.2264902533024271,0.0,,,,,,,,,,
0.753448275862069,0.14310344827586208,0.753448275862069,0.04116554064645553,dataset_label_lookup,,0.7189655172413794,0.7896551724137931,1.2500000000000004,0.3759398496240603,1.5570342811957858,0.0,,,,,,,,,,
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.07510981143837671,semantic_embedding_kmeans,16,0.7017241379310345,0.7767672413793103,1.0,0.30075187969924816,1.5017285823575186,4.0,3.6718261897429993,,,,,,,,,
0.8896551724137931,0.006896551724137931,0.8896551724137931,0.06420700044869516,flat_routecode_utility_oracle,16,0.8637931034482759,0.9155172413793103,3.2249999999999996,0.9699248120300752,2.3993157398875717,4.0,3.6970741412243635,,,,,,,,,
0.6137931034482759,0.2827586206896552,0.6137931034482759,0.09500932304242123,flat_routecode_logistic_label_predictor,16,0.5732327586206897,0.6491810344827585,-0.7749999999999988,-0.23308270676691697,2.4793079174966093,4.0,3.828913271693879,,,,,,,,,
0.8758620689655172,0.020689655172413793,0.8758620689655172,0.08519193449431886,d2_joint_oracle_labels,16,0.8499137931034483,0.9017241379310345,3.024999999999999,0.9097744360902255,2.0992526089684276,4.0,3.7323961091755704,0.0,0.0,1.0,1.0,0.0,1.0594662119635923,251.95315122814225,0.08879960697122866,1.0594662119635923
0.6948275862068966,0.20172413793103447,0.6948275862068966,0.11946495167725431,d2_embedding_centroid,16,0.6559913793103448,0.7336637931034482,0.40000000000000063,0.12030075187969945,2.228718306845009,4.0,3.7680154785690014,0.0,0.0,0.15,0.7728047382600556,0.6228047382600557,1.0594662119635923,251.95315122814225,0.08879960697122866,1.0594662119635923
0.6913793103448276,0.20517241379310344,0.6913793103448276,0.1272313060239536,d2_logistic_label_predictor,16,0.6508189655172414,0.7233189655172413,0.3500000000000006,0.10526315789473702,2.1682738347069987,4.0,3.8172072026939086,0.0,0.0,0.14655172413793102,0.7027270155806152,0.5561752914426841,1.0594662119635923,251.95315122814225,0.08879960697122866,1.0594662119635923
0.8706896551724138,0.02586206896551724,0.8706896551724138,0.10023779033595787,d2_joint_oracle_labels,16,0.8448275862068966,0.8982758620689655,2.9499999999999997,0.887218045112782,2.1970795377435706,4.0,3.748369466282033,0.05,0.0,1.0,1.0,0.0,1.3175687020398918,250.56879159117568,0.08017495606897072,13.846008281598678
0.6086206896551725,0.28793103448275864,0.6086206896551725,0.13463414354921488,d2_embedding_centroid,16,0.5715086206896551,0.646551724137931,-0.8499999999999982,-0.2556390977443604,2.306146257278872,4.0,3.7602121397198585,0.05,0.0,0.1706896551724138,0.7957975593905585,0.6266595146936286,1.3175687020398918,250.56879159117568,0.08017495606897072,13.846008281598678
0.6327586206896552,0.2637931034482759,0.6327586206896552,0.11766406371557352,d2_logistic_label_predictor,16,0.6008189655172413,0.6715948275862068,-0.4999999999999992,-0.15037593984962383,2.3438394087699472,4.0,3.761308354261694,0.05,0.0,0.16379310344827586,0.7251677204787653,0.5613746170304894,1.3175687020398918,250.56879159117568,0.08017495606897072,13.846008281598678
0.846551724137931,0.05,0.846551724137931,0.11206157878168445,d2_joint_oracle_labels,16,0.8189655172413793,0.8741379310344828,2.599999999999999,0.781954887218045,2.3557834339183437,4.0,3.666151102503826,0.1,0.0,1.0,1.0,0.0,1.6691298482850891,248.40491759033236,0.08306241980187005,26.509621607318326
0.65,0.24655172413793103,0.65,0.0829532174865809,d2_embedding_centroid,16,0.6086206896551725,0.6836637931034483,-0.2499999999999988,-0.07518796992481168,2.2884527160676935,4.0,3.663519838841496,0.1,0.0,0.28620689655172415,0.8238514395458271,0.5424983743691473,1.6691298482850891,248.40491759033236,0.08306241980187005,26.509621607318326
0.6344827586206897,0.2620689655172414,0.6344827586206897,0.08715785130829692,d2_logistic_label_predictor,16,0.5973706896551724,0.6733189655172414,-0.47499999999999837,-0.14285714285714238,2.401502446028932,4.0,3.662572253950156,0.1,0.0,0.2206896551724138,0.740375616614308,0.5197090708340748,1.6691298482850891,248.40491759033236,0.08306241980187005,26.509621607318326
0.753448275862069,0.14310344827586208,0.753448275862069,0.055498852592979715,d2_joint_oracle_labels,16,0.7163362068965518,0.7862068965517242,1.2500000000000004,0.3759398496240603,1.4959620184982305,4.0,3.2397112841418854,0.3,0.0,1.0,1.0,0.0,3.445653159778046,240.04868584751267,0.11735047228339388,75.46025891403184
0.7379310344827587,0.15862068965517243,0.7379310344827587,0.07473802654424026,d2_embedding_centroid,16,0.7068965517241379,0.7741379310344828,1.0250000000000008,0.3082706766917296,1.4990902063631633,4.0,3.337862874458056,0.3,0.0,0.5948275862068966,0.8969414810261682,0.3039347308374172,3.445653159778046,240.04868584751267,0.11735047228339388,75.46025891403184
0.7241379310344828,0.1724137931034483,0.7241379310344828,0.06570053086510248,d2_logistic_label_predictor,16,0.6896551724137931,0.7604310344827585,0.8250000000000005,0.24812030075187988,1.5297243250960184,4.0,3.2099472274233913,0.3,0.0,0.496551724137931,0.8470690563329517,0.35495112737564083,3.445653159778046,240.04868584751267,0.11735047228339388,75.46025891403184
0.746551724137931,0.15,0.746551724137931,0.07202018862340837,d2_joint_oracle_labels,16,0.7103448275862069,0.7802155172413793,1.1500000000000001,0.34586466165413543,1.5526061957206665,4.0,3.235691177816595,1.0,0.0,1.0,1.0,0.0,5.100412589653596,237.40208900304262,0.12041207106828877,242.5025015926962
0.743103448275862,0.15344827586206897,0.743103448275862,0.072660412085295,d2_embedding_centroid,16,0.7042672413793103,0.7767672413793103,1.1,0.330827067669173,1.537314289885317,4.0,3.2471369393556864,1.0,0.0,0.9086206896551724,0.95571713736951,0.049178715601219794,5.100412589653596,237.40208900304262,0.12041207106828877,242.5025015926962
0.7327586206896551,0.16379310344827586,0.7327586206896551,0.06780089474354709,d2_logistic_label_predictor,16,0.7,0.7655172413793103,0.95,0.2857142857142857,1.5466020679538635,4.0,3.2423571313680486,1.0,0.0,0.8258620689655173,0.8797767526225797,0.05602717472137193,5.100412589653596,237.40208900304262,0.12041207106828877,242.5025015926962
0.746551724137931,0.15,0.746551724137931,0.07461849805838905,d2_joint_oracle_labels,16,0.7128879310344828,0.7775862068965518,1.1500000000000001,0.34586466165413543,1.5236692567012249,4.0,3.122271925394471,3.0,0.0,1.0,1.0,0.0,5.490847414496514,236.5567206596947,0.1252031023847895,715.1610093935806
0.746551724137931,0.15,0.746551724137931,0.07448660603153684,d2_embedding_centroid,16,0.7172413793103448,0.7836637931034482,1.1500000000000001,0.34586466165413543,1.5254961390836257,4.0,3.1120056445131263,3.0,0.0,0.9810344827586207,0.9598942096979446,0.021140273060676194,5.490847414496514,236.5567206596947,0.1252031023847895,715.1610093935806
0.7448275862068966,0.15172413793103448,0.7448275862068966,0.07123450367395771,d2_logistic_label_predictor,16,0.7077155172413793,0.7810344827586206,1.125000000000001,0.33834586466165445,1.5102126063470322,4.0,3.061130324999679,3.0,0.0,0.8724137931034482,0.8799376236354153,0.032641308660778405,5.490847414496514,236.5567206596947,0.1252031023847895,715.1610093935806
0.743103448275862,0.15344827586206897,0.743103448275862,0.05887293498946401,d2_joint_oracle_labels,16,0.7077155172413793,0.7802155172413793,1.1,0.330827067669173,1.5680274532497955,4.0,3.006749164774482,10.0,0.0,1.0,1.0,0.0,5.516020508915859,236.12164312005697,0.14363294714637012,2366.7324517094858
0.7413793103448276,0.15517241379310345,0.7413793103448276,0.05896088731923637,d2_embedding_centroid,16,0.7103448275862069,0.7750431034482759,1.0750000000000008,0.32330827067669204,1.5650997542993683,4.0,3.01170415696203,10.0,0.0,0.9896551724137931,0.9673123457367908,0.02419058705816091,5.516020508915859,236.12164312005697,0.14363294714637012,2366.7324517094858
0.7448275862068966,0.15172413793103448,0.7448275862068966,0.05903136183229893,d2_logistic_label_predictor,16,0.7094396551724138,0.7775862068965518,1.125000000000001,0.33834586466165445,1.5600755423817243,4.0,2.9676810834277156,10.0,0.0,0.8672413793103448,0.8994387297765241,0.036532667496102775,5.516020508915859,236.12164312005697,0.14363294714637012,2366.7324517094858
