dataset,n_queries,best_single_utility,oracle_utility,oracle_gap
mbpp,191,0.5078534031413613,0.900523560209424,0.39267015706806285
gpqa,37,0.5405405405405406,0.918918918918919,0.3783783783783784
humaneval,27,0.6296296296296297,0.9259259259259259,0.2962962962962963
mmlupro,207,0.7004830917874396,0.8502415458937198,0.1497584541062802
aime,14,0.7142857142857143,0.8571428571428571,0.14285714285714285
math500,104,0.9423076923076923,0.9711538461538461,0.028846153846153848
