mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,scenario,scenario_type,n_train_queries,n_test_queries,n_models
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,random,random,1738,580,6
0.753448275862069,0.14310344827586208,0.753448275862069,0.04116554064645553,dataset_label_lookup,6,0.7180603448275862,0.7862068965517242,1.2500000000000004,0.3759398496240603,1.5570342811957858,2.584962500721156,2.0917691882229463,random,random,1738,580,6
0.7448275862068966,0.15172413793103448,0.7448275862068966,0.03747470346651962,predicted_topic_lookup,6,0.7086206896551724,0.7802155172413793,1.125000000000001,0.33834586466165445,1.5693360099387108,2.584962500721156,2.078963593652957,random,random,1738,580,6
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.07510981143837671,embedding_cluster_lookup,16,0.7008189655172413,0.7681465517241379,1.0,0.30075187969924816,1.5017285823575186,4.0,3.6718261897429993,random,random,1738,580,6
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.08625569658638482,kNN,,0.7017241379310345,0.7698706896551724,1.0,0.30075187969924816,2.019798018216054,0.0,,random,random,1738,580,6
0.6741379310344827,0.22241379310344828,0.6741379310344827,0.14142293538774586,logistic_embedding_router,,0.63875,0.7068965517241379,0.10000000000000016,0.030075187969924862,1.155182111400025,0.0,,random,random,1738,580,6
0.6137931034482759,0.2827586206896552,0.6137931034482759,0.09500932304242123,routecode_predicted_labels,16,0.5741379310344827,0.656896551724138,-0.7749999999999988,-0.23308270676691697,2.4793079174966093,4.0,3.828913271693879,random,random,1738,580,6
0.896551724137931,0.0,0.896551724137931,0.1348941055476987,query_oracle,6,0.8741379310344828,0.9233189655172414,3.3249999999999997,1.0,1.2264902533024271,2.584962500721156,1.2264902533024271,random,random,1738,580,6
0.7666666666666667,0.1,0.7666666666666667,0.45556986342768024,best_single,,0.6745833333333334,0.8666666666666667,0.0,0.0,0.0,0.0,,leave_dataset_out:aime,leave_one_dataset_out,2835,60,6
0.7666666666666667,0.1,0.7666666666666667,0.45556986342768024,dataset_label_lookup,1,0.6745833333333334,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,leave_dataset_out:aime,leave_one_dataset_out,2835,60,6
0.7166666666666667,0.15,0.7166666666666667,0.31693114966137714,predicted_topic_lookup,4,0.6166666666666667,0.8166666666666667,0.0,-0.5000000000000006,1.1587779994677212,2.0,1.347177090449938,leave_dataset_out:aime,leave_one_dataset_out,2835,60,6
0.75,0.11666666666666667,0.75,0.3967486146437018,embedding_cluster_lookup,16,0.65,0.85,0.0,-0.1666666666666672,0.5197027865043055,4.0,2.647203544282995,leave_dataset_out:aime,leave_one_dataset_out,2835,60,6
0.7333333333333333,0.13333333333333333,0.7333333333333333,0.3940372969134558,kNN,,0.6245833333333335,0.8333333333333334,0.0,-0.3333333333333344,1.2841428547959364,0.0,,leave_dataset_out:aime,leave_one_dataset_out,2835,60,6
