mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,sensitivity,variant
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,embedding_backbone,configured
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.08625569658638482,kNN,,0.7017241379310345,0.7698706896551724,1.0,0.30075187969924816,2.019798018216054,0.0,,embedding_backbone,configured
0.746551724137931,0.15,0.746551724137931,0.07448660603153684,d2_embedding_centroid,16,0.7068965517241379,0.7793103448275862,1.1500000000000001,0.34586466165413543,1.5254961390836257,4.0,3.1120056445131263,embedding_backbone,configured
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,embedding_backbone,hashing_64
0.7189655172413794,0.17758620689655172,0.7189655172413794,0.08474225131096394,kNN,,0.681853448275862,0.7517241379310344,1.0,0.22556390977443647,1.9543529743944037,0.0,,embedding_backbone,hashing_64
0.7310344827586207,0.16551724137931034,0.7310344827586207,0.1012882307956502,d2_embedding_centroid,16,0.6946551724137932,0.7629741379310344,1.2333333333333323,0.2781954887218047,1.0573113083345236,4.0,3.6938951590785205,embedding_backbone,hashing_64
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,embedding_backbone,hashing_256
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.08625569658638482,kNN,,0.7017241379310345,0.7698706896551724,1.0,0.30075187969924816,2.019798018216054,0.0,,embedding_backbone,hashing_256
0.746551724137931,0.15,0.746551724137931,0.07448660603153684,d2_embedding_centroid,16,0.7068965517241379,0.7793103448275862,1.1500000000000001,0.34586466165413543,1.5254961390836257,4.0,3.1120056445131263,embedding_backbone,hashing_256
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.07510981143837671,semantic_embedding_cluster,16,0.7008189655172413,0.7681465517241379,1.0,0.30075187969924816,1.5017285823575186,4.0,3.6718261897429993,clustering_algorithm,kmeans
0.75,0.14655172413793102,0.75,0.08417473854511251,semantic_embedding_cluster,16,0.7120689655172414,0.7802155172413793,1.2000000000000004,0.3609022556390979,1.383765604091747,4.0,3.5717109494478443,clustering_algorithm,agglomerative
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,clustering_algorithm,d2_reference
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.08625569658638482,kNN,,0.7017241379310345,0.7698706896551724,1.0,0.30075187969924816,2.019798018216054,0.0,,clustering_algorithm,d2_reference
0.746551724137931,0.15,0.746551724137931,0.07448660603153684,d2_embedding_centroid,16,0.7068965517241379,0.7793103448275862,1.1500000000000001,0.34586466165413543,1.5254961390836257,4.0,3.1120056445131263,clustering_algorithm,d2_reference
0.6741379310344827,0.22241379310344828,0.6741379310344827,0.14142293538774586,logistic_embedding_router,,0.63875,0.7068965517241379,0.10000000000000016,0.030075187969924862,1.155182111400025,0.0,,label_noise,noise_0
0.653448275862069,0.24310344827586206,0.653448275862069,0.14260400352971686,logistic_embedding_router,,0.6189655172413793,0.6888362068965517,-0.1999999999999987,-0.06015037593984924,1.4535548405014116,0.0,,label_noise,noise_0.1
0.6310344827586207,0.2655172413793103,0.6310344827586207,0.14409783829001577,logistic_embedding_router,,0.593103448275862,0.6715948275862068,-0.5249999999999985,-0.1578947368421048,1.7368416727819191,0.0,,label_noise,noise_0.2
0.594384636724138,0.29473854603448274,0.6672413793103448,0.16136301943110865,best_single,,0.5555290354956897,0.6314065209827586,0.0,0.0,0.0,0.0,,cost_misestimation,cost_multiplier_0.5
0.7076484198275862,0.18147476293103446,0.7275862068965517,0.04415818506318813,kNN,,0.668965217198276,0.7408328140818966,0.9347682958303182,0.3842856139020139,1.9803281677026128,0.0,,cost_misestimation,cost_multiplier_0.5
0.7203538487931035,0.16876933396551727,0.7448275862068966,0.0542044020315753,d2_embedding_centroid,16,0.6769000813017241,0.7513606712327586,1.0396264583997459,0.4273930701084065,1.5849325046487697,4.0,3.1492479602674743,cost_misestimation,cost_multiplier_0.5
0.594384636724138,0.29473854603448274,0.6672413793103448,0.16136301943110865,best_single,,0.5555290354956897,0.6314065209827586,0.0,0.0,0.0,0.0,,cost_misestimation,cost_multiplier_1
0.7155523994827587,0.17357078327586203,0.7293103448275862,0.030471079589959992,kNN,,0.6771974420948277,0.75049673125,1.0,0.411102532698403,1.8345699940120017,0.0,,cost_misestimation,cost_multiplier_1
0.7175995012068965,0.17152368155172412,0.7224137931034482,0.010662687477841914,d2_embedding_centroid,16,0.6807323421896552,0.7487626890560344,1.0168947719882875,0.41804801625215005,1.346308667526742,4.0,3.1242955685980647,cost_misestimation,cost_multiplier_1
0.6086206896551725,0.2805024931034483,0.6086206896551725,0.0,best_single,,0.5671551724137931,0.6509051724137931,0.11749043315584051,0.04830061463819846,0.0,0.0,,cost_misestimation,cost_multiplier_2
0.734481586551724,0.15464159620689658,0.7379310344827587,0.007639832824855009,kNN,,0.6952280301163792,0.7688469097543104,1.1562229642439985,0.47532618896476286,1.5195358645901536,0.0,,cost_misestimation,cost_multiplier_2
0.7258620689655172,0.16326111379310349,0.7258620689655172,0.0,d2_embedding_centroid,16,0.68875,0.757801724137931,1.085085911038041,0.4460815662230927,0.9069870790035199,4.0,3.086973880040725,cost_misestimation,cost_multiplier_2
0.6307787185873688,0.2624667697754005,0.6672413793103448,0.15707222686280745,best_single,,0.5945381807762257,0.6681883176962377,0.0,0.0,0.0,0.0,,price_ratio,price_ratio_exponent_0
0.7231482295407966,0.17009725882197269,0.7327586206896551,0.0413992152202606,kNN,,0.6870735970271721,0.758059336813633,1.0,0.35192840233630646,2.0590716260858435,0.0,,price_ratio,price_ratio_exponent_0
0.7159810312547763,0.17726445710799293,0.7293103448275862,0.057419423704168006,d2_embedding_centroid,16,0.6769999431885185,0.7479901991697107,0.9224073158768377,0.32462133297985624,1.509168424890643,4.0,3.272502249104423,price_ratio,price_ratio_exponent_0
0.6156996419870642,0.27619545865572254,0.6672413793103448,0.16136301943110862,best_single,,0.5783881794885223,0.6526769478724257,0.0,0.0,0.0,0.0,,price_ratio,price_ratio_exponent_0.5
0.7197460256422881,0.1721490750004986,0.7327586206896551,0.04073886012625749,kNN,,0.6833119131585675,0.7556069737161146,1.0,0.3767128690733386,1.9868411040428509,0.0,,price_ratio,price_ratio_exponent_0.5
0.7031756645866704,0.1887194360561164,0.7206896551724138,0.05483149288270227,d2_embedding_centroid,16,0.6623589719744583,0.736772064295225,0.8407406343835405,0.3167178165251624,1.5612505952948892,4.0,3.2452473717877393,price_ratio,price_ratio_exponent_0.5
0.594384636724138,0.29473854603448274,0.6672413793103448,0.16136301943110865,best_single,,0.5555290354956897,0.6314065209827586,0.0,0.0,0.0,0.0,,price_ratio,price_ratio_exponent_1
0.7155523994827587,0.17357078327586203,0.7293103448275862,0.030471079589959992,kNN,,0.6771974420948277,0.75049673125,1.0,0.411102532698403,1.8345699940120017,0.0,,price_ratio,price_ratio_exponent_1
0.7175995012068965,0.17152368155172412,0.7224137931034482,0.010662687477841914,d2_embedding_centroid,16,0.6807323421896552,0.7487626890560344,1.0168947719882875,0.41804801625215005,1.346308667526742,4.0,3.1242955685980647,price_ratio,price_ratio_exponent_1
0.6086206896551725,0.27073687421022885,0.6086206896551725,0.0,best_single,,0.5671551724137931,0.6509051724137931,0.0,0.0,0.0,0.0,,price_ratio,price_ratio_exponent_2
