route_label,n_queries,mean_regret,p90_regret,max_regret,winner_entropy,mean_oracle_margin,mean_distance_to_centroid
6,65,0.4,1.0,1.0,1.1371019542269079,0.09230769230769231,0.7906115673546903
7,31,0.3548387096774194,1.0,1.0,1.5734514757305034,0.12903225806451613,0.7869895310375549
0,18,0.3333333333333333,1.0,1.0,0.5032583347756457,0.05555555555555555,0.8239343358823201
12,24,0.3333333333333333,1.0,1.0,1.1386865525783176,0.20833333333333334,0.8654324356655884
8,47,0.3191489361702128,1.0,1.0,0.8976287709224354,0.10638297872340426,0.8647580652100088
3,44,0.3181818181818182,1.0,1.0,0.8148994594848438,0.045454545454545456,0.8569463714158618
13,30,0.3,1.0,1.0,1.1469968458926931,0.13333333333333333,0.8267695133455087
10,43,0.27906976744186046,1.0,1.0,1.2027847436686838,0.11627906976744186,0.8288425608945468
15,22,0.2727272727272727,1.0,1.0,1.1867043459100246,0.13636363636363635,0.8042521119035889
9,50,0.26,1.0,1.0,1.4513308818235422,0.08,0.7799741055795815
14,32,0.25,1.0,1.0,1.248778124459133,0.21875,0.8255274972491453
4,20,0.25,1.0,1.0,1.0540157730728,0.15,0.8307642144002264
1,86,0.23255813953488372,1.0,1.0,1.0099310490240616,0.05813953488372093,0.8738133342265763
11,28,0.17857142857142858,1.0,1.0,0.8059584928680418,0.14285714285714285,0.7966775664186662
5,12,0.16666666666666666,0.9000000000000004,1.0,1.6140054628542204,0.08333333333333333,0.7895485109905441
2,28,0.14285714285714285,1.0,1.0,1.4693009842864757,0.14285714285714285,0.812571231544859
