predictor,label_accuracy,mean_confidence,ece,mean_utility,oracle_code_regret,recovered_gap_vs_oracle_code,recovered_gap_vs_query_oracle
utility_oracle_labels,1.0,1.0,0.0,0.8896551724137931,0.0,1.0,0.9699248120300752
embedding_centroid_assignment,0.13620689655172413,0.06874179024337593,0.0674651063083482,0.6586206896551724,0.2310344827586207,-0.03875968992248044,-0.03759398496240584
logistic_label_predictor,0.15172413793103448,0.6971292130705669,0.5454050751395324,0.6137931034482759,0.27586206896551724,-0.24031007751937952,-0.23308270676691697
mlp_label_predictor,0.14655172413793102,0.7243460231159858,0.5777942989780547,0.6344827586206897,0.2551724137931034,-0.14728682170542587,-0.14285714285714238
knn_label_predictor,0.20517241379310344,0.28172413793103446,0.08390804597701149,0.6206896551724138,0.2689655172413793,-0.20930232558139497,-0.2030075187969921
