check_id,status,base_url,model_id,models_endpoint_status,model_listed,completion_status,latency_sec,tokens_input,tokens_output,blocking_reasons,error_type,error_message,created_at
local_openai_server:__first_listed__,blocked,http://localhost:8001/v1,__first_listed__,error,False,skipped,0.0,6,0,models_endpoint_failed,URLError,<urlopen error timed out>,2026-06-17T17:14:38.660694+00:00
local_openai_server:__first_listed__,blocked,http://localhost:8002/v1,__first_listed__,error,False,skipped,0.0,6,0,models_endpoint_failed,URLError,<urlopen error timed out>,2026-06-17T17:14:43.732000+00:00
