route_label,n_queries,mean_regret,p90_regret,max_regret,winner_entropy,mean_oracle_margin,mean_distance_to_centroid
0,73,0.5068493150684932,1.0,1.0,2.486070132284615,0.0273972602739726,0.7941396089557979
1,531,0.4331450094161959,1.0,1.0,2.023023870977653,0.030131826741996232,0.8526480602542309
12,105,0.38095238095238093,1.0,1.0,2.1691181721556294,0.02857142857142857,0.8251970768016571
2,55,0.36363636363636365,1.0,1.0,2.316235867815696,0.07272727272727272,0.7324915616694806
13,195,0.35384615384615387,1.0,1.0,2.0028878566394326,0.010256410256410256,0.8296674329582248
10,90,0.34444444444444444,1.0,1.0,1.8708677204909856,0.05555555555555555,0.8322733473869358
9,719,0.33518776077885953,1.0,1.0,2.604875268671675,0.05285118219749652,0.7180869025850748
4,107,0.3177570093457944,1.0,1.0,2.2501810250291445,0.009345794392523364,0.8144872692693935
6,71,0.29577464788732394,1.0,1.0,2.7805148155628285,0.07042253521126761,0.7756925752374112
14,235,0.28085106382978725,1.0,1.0,2.6918774748826886,0.01702127659574468,0.7555371040914457
8,78,0.20512820512820512,1.0,1.0,1.6321690091658692,0.01282051282051282,0.7890513366169061
3,125,0.176,1.0,1.0,2.0871896471298768,0.032,0.7507242548661448
5,104,0.17307692307692307,1.0,1.0,1.7295438920886748,0.019230769230769232,0.9007653776928805
11,142,0.14788732394366197,1.0,1.0,2.5276572906703274,0.028169014084507043,0.7827392401420968
7,89,0.0898876404494382,0.0,1.0,2.1564833324149997,0.0,0.8284879351008214
15,89,0.07865168539325842,0.0,1.0,2.294111695369781,0.02247191011235955,0.855412133290346
