mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,scenario,scenario_type,n_train_queries,n_test_queries,n_models
0.7037037037037037,0.21225071225071226,0.7037037037037037,0.09736108743893515,best_single,,0.6866096866096866,0.7209045584045584,0.0,0.0,0.0,0.0,,random,random,8425,2808,20
0.7172364672364673,0.1987179487179487,0.7172364672364673,0.08254016162267074,dataset_label_lookup,18,0.7035167378917379,0.7363158831908831,0.0,0.0637583892617451,2.5145287161273346,4.169925001442312,3.8789693825039913,random,random,8425,2808,20
0.7168803418803419,0.19907407407407407,0.7168803418803419,0.081514900563357,predicted_topic_lookup,18,0.702394943019943,0.7366542022792023,0.0,0.06208053691275164,2.5327048303409874,4.169925001442312,3.9016031618073623,random,random,8425,2808,20
0.7222222222222222,0.19373219373219372,0.7222222222222222,0.07816589222034023,embedding_cluster_lookup,16,0.7067040598290599,0.7363158831908831,0.0,0.08724832214765088,2.607028929515041,4.0,3.890203506504081,random,random,8425,2808,20
0.7022792022792023,0.21367521367521367,0.7022792022792023,0.07081212264183125,kNN,,0.6883725071225071,0.7183048433048433,0.0,-0.006711409395973305,3.2596809663941735,0.0,,random,random,8425,2808,20
0.5135327635327636,0.4024216524216524,0.5135327635327636,0.020979092611824183,logistic_embedding_router,,0.4982193732193732,0.5338497150997151,0.0,-0.8959731543624161,2.121975596447432,0.0,,random,random,8425,2808,20
0.6022079772079773,0.31374643874643876,0.6022079772079773,0.040823597780095644,routecode_predicted_labels,16,0.5872507122507122,0.619880698005698,0.0,-0.47818791946308714,2.8822152143857247,4.0,3.4754968993374487,random,random,8425,2808,20
0.915954415954416,0.0,0.915954415954416,0.02256418973869335,query_oracle,20,0.9057959401709401,0.9280982905982906,0.0,1.0,2.5105705671042657,4.321928094887363,2.5105705671042657,random,random,8425,2808,20
0.7666666666666667,0.11666666666666667,0.7666666666666667,0.3928722579830458,best_single,,0.6666666666666666,0.8587499999999999,0.0,0.0,0.0,0.0,,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.7666666666666667,0.11666666666666667,0.7666666666666667,0.3928722579830458,dataset_label_lookup,1,0.6666666666666666,0.8587499999999999,0.0,0.0,0.0,0.0,0.0,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.6666666666666666,0.21666666666666667,0.6666666666666666,0.21327180857035316,predicted_topic_lookup,10,0.54125,0.7833333333333333,0.0,-0.8571428571428585,1.7304332069997073,3.321928094887362,2.5133979888650493,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.7166666666666667,0.16666666666666666,0.7166666666666667,0.40372823097491184,embedding_cluster_lookup,16,0.59125,0.8087499999999999,0.0,-0.42857142857142927,1.456564762130954,4.0,2.371978916597147,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.6833333333333333,0.2,0.6833333333333333,0.35549608565758,kNN,,0.5745833333333333,0.8,0.0,-0.7142857142857151,2.4290201268443994,0.0,,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.18333333333333332,0.7,0.18333333333333332,0.002981686719938009,logistic_embedding_router,,0.08333333333333333,0.26666666666666666,0.0,-5.0000000000000036,1.8298801216623914,0.0,,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.6666666666666666,0.21666666666666667,0.6666666666666666,0.40759520839074426,routecode_predicted_labels,16,0.5333333333333333,0.7920833333333333,0.0,-0.8571428571428585,1.9417421501681957,4.0,2.1007146587673375,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.8833333333333333,0.0,0.8833333333333333,0.21971699948463927,query_oracle,20,0.7833333333333333,0.9587499999999999,0.0,1.0,2.03199602317421,4.321928094887363,2.03199602317421,leave_dataset_out:aime,leave_one_dataset_out,13979,60,20
0.6913086913086913,0.25074925074925075,0.6913086913086913,0.09995640677711194,best_single,,0.6576673326673327,0.7158591408591408,0.0,0.0,0.0,0.0,,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
0.6913086913086913,0.25074925074925075,0.6913086913086913,0.09995640677711194,dataset_label_lookup,1,0.6576673326673327,0.7158591408591408,0.0,0.0,0.0,0.0,0.0,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
0.6933066933066933,0.24875124875124874,0.6933066933066933,0.09347994476521419,predicted_topic_lookup,14,0.6683316683316683,0.7178571428571427,0.0,0.007968127490039573,1.6754007763611027,3.807354922057604,3.221154907079725,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
0.6943056943056943,0.24775224775224775,0.6943056943056943,0.09560621238709911,embedding_cluster_lookup,16,0.6693306693306693,0.7198051948051948,0.0,0.011952191235059802,1.1856062839468837,4.0,2.354620728480588,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
0.6523476523476524,0.2897102897102897,0.6523476523476524,0.07070748253239832,kNN,,0.6208041958041959,0.6858391608391609,0.0,-0.15537848605577698,2.8588398199636855,0.0,,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
0.3066933066933067,0.6353646353646354,0.3066933066933067,0.005909561168950867,logistic_embedding_router,,0.2817182817182817,0.3307692307692307,0.0,-1.5338645418326697,1.5668613104035545,0.0,,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
