mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,transfer_scenario,source_family,source_model_count,target_model_count,source_models,target_models,source_target_overlap,d2_alpha,d2_beta,train_source_oracle_gap,train_target_oracle_gap,target_oracle_gap,target_dominance_ratio,target_winner_entropy,target_train_query_count,same_budget_as_direct_retraining
0.6866096866096866,0.1502849002849003,0.6866096866096866,0.07386696002794996,target_kNN,,0.6706819800569801,0.7019764957264957,0.8333333333333334,0.034324942791761896,1.6841622679333281,0.0,,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,,,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,False
0.6855413105413105,0.15135327635327636,0.6855413105413105,0.10146379199550024,target_direct_logistic,,0.6684294871794871,0.7022792022792023,0.6666666666666666,0.02745995423340952,0.10231317718512882,0.0,,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,,,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,True
0.6812678062678063,0.15562678062678062,0.6812678062678063,0.10293856943239867,target_direct_svm,,0.6624198717948718,0.6972934472934473,0.0,0.0,0.0,0.0,,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,,,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,True
0.6826923076923077,0.1542022792022792,0.6826923076923077,0.10286323630621526,target_direct_knn,,0.6620192307692307,0.6949875356125357,0.22222222222222798,0.009153318077803412,0.040275011750404065,0.0,,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,,,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,True
0.6876780626780626,0.1492165242165242,0.6876780626780626,0.09639621009799416,target_direct_mlp,,0.6673611111111111,0.7040598290598291,1.0,0.04118993135011428,0.8528198093380772,0.0,,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,,,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,True
0.6826923076923077,0.1542022792022792,0.6826923076923077,0.10275900325127871,target_direct_gradient_boosting,,0.6625267094017094,0.6978365384615385,0.22222222222222798,0.009153318077803412,0.04214292930661366,0.0,,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,,,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,True
0.7129629629629629,0.12393162393162394,0.7129629629629629,0.07783095931493672,target_d2_native,16,0.6971064814814815,0.7320245726495727,4.944444444444456,0.20366132723112107,1.5448118243961293,4.0,3.441620555583931,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,1.0,0.0,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,True
0.7076210826210826,0.12927350427350429,0.7076210826210826,0.07987896747299746,source_d2_label_transfer,16,0.69315349002849,0.7246171652421652,4.111111111111122,0.16933638443935917,1.6453085466839221,4.0,3.4267591632021555,complementary_to_remaining_top_s4_t4,complementary,4,4,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;Intern-S1-mini;cogito-v1-preview-llama-8B,0,1.0,0.0,0.14362017804154292,0.15513353115727002,0.1556267806267806,0.8443732193732194,0.8397769341132776,8425,True
0.6655982905982906,0.16880341880341881,0.6655982905982906,0.09575280560068085,target_best_single,,0.6461449430199431,0.6848646723646724,0.0,0.0,0.0,0.0,,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,,,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,False
0.6944444444444444,0.13995726495726496,0.6944444444444444,0.0747977538598123,target_kNN,,0.6782318376068376,0.7128472222222222,1.0,0.17088607594936708,1.5881589975725499,0.0,,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,,,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,False
