mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,ablation,split_seed,lambda_cost,train_fraction,train_query_count,d2_beta
0.7037037037037037,0.21225071225071226,0.7037037037037037,0.09736108743893515,best_single,,0.6866096866096866,0.7209045584045584,0.0,0.0,0.0,0.0,,k_lambda,,0.0,,,
0.7044159544159544,0.21153846153846154,0.7044159544159544,0.09515887254765502,semantic_embedding_kmeans,4,0.6881677350427351,0.7207977207977208,0.0,0.003355704697986391,0.8754825271418087,2.0,1.6706308107096737,k_lambda,,0.0,,,
0.6983618233618234,0.2175925925925926,0.6983618233618234,0.08678330622862276,flat_routecode_utility_oracle,4,0.6803507834757835,0.7115562678062678,0.0,-0.02516778523489924,1.559755772744995,2.0,1.95997448230027,k_lambda,,0.0,,,
0.8486467236467237,0.0673076923076923,0.8486467236467237,0.08101214915140104,regret_routecode_utility_oracle,4,0.8322115384615385,0.8629451566951567,0.0,0.6828859060402686,1.5175919645193612,2.0,1.5175919645193612,k_lambda,,0.0,,,
0.7054843304843305,0.21047008547008547,0.7054843304843305,0.0935183770163519,d2_embedding_centroid,4,0.6885238603988604,0.7206285612535612,0.0,0.00838926174496624,0.693381063771872,2.0,1.4883691682335902,k_lambda,,0.0,,,
0.7154558404558404,0.2004985754985755,0.7154558404558404,0.08331704867323797,semantic_embedding_kmeans,8,0.6999376780626781,0.7270566239316238,0.0,0.05536912751677833,1.8531120661901295,3.0,2.7965438729300303,k_lambda,,0.0,,,
0.7329059829059829,0.18304843304843305,0.7329059829059829,0.07646909216707505,flat_routecode_utility_oracle,8,0.7198985042735042,0.745219017094017,0.0,0.13758389261744935,1.8397700946975921,3.0,2.8937766387604613,k_lambda,,0.0,,,
0.8774928774928775,0.038461538461538464,0.8774928774928775,0.0323968758755569,regret_routecode_utility_oracle,8,0.8658742877492878,0.8900106837606837,0.0,0.818791946308725,2.313059841206459,3.0,2.313059841206459,k_lambda,,0.0,,,
0.7051282051282052,0.21082621082621084,0.7051282051282052,0.09422961931297087,d2_embedding_centroid,8,0.6847934472934473,0.7220708689458689,0.0,0.006711409395973305,1.4891395275754615,3.0,2.603656275429434,k_lambda,,0.0,,,
0.7222222222222222,0.19373219373219372,0.7222222222222222,0.07816589222034023,semantic_embedding_kmeans,16,0.7040598290598291,0.7370815527065526,0.0,0.08724832214765088,2.607028929515041,4.0,3.890203506504081,k_lambda,,0.0,,,
0.7382478632478633,0.1777065527065527,0.7382478632478633,0.07538276050152676,flat_routecode_utility_oracle,16,0.7187945156695157,0.7537482193732193,0.0,0.16275167785234912,2.4539206592716885,4.0,3.792365156449482,k_lambda,,0.0,,,
0.9091880341880342,0.006766381766381766,0.9091880341880342,0.06845950034029101,regret_routecode_utility_oracle,16,0.8988603988603988,0.9204148860398861,0.0,0.9681208053691275,2.670649773823517,4.0,2.670649773823517,k_lambda,,0.0,,,
0.7147435897435898,0.2012108262108262,0.7147435897435898,0.08283671279710714,d2_embedding_centroid,16,0.6949697293447293,0.7302439458689459,0.0,0.05201342281879194,2.10494763089091,4.0,3.5713929934693303,k_lambda,,0.0,,,
0.7200854700854701,0.19586894586894588,0.7200854700854701,0.08451908602728321,semantic_embedding_kmeans,32,0.7051282051282052,0.739164886039886,0.0,0.07718120805369118,2.4356339336233868,5.0,4.702006765300873,k_lambda,,0.0,,,
