mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,alpha,beta,label_accuracy,mean_confidence,ece,assignment_utility_loss,assignment_embedding_loss,assignment_balance_penalty,assignment_objective
0.7037037037037037,0.21225071225071226,0.7037037037037037,0.09736108743893515,best_single,,0.6866096866096866,0.7209045584045584,0.0,0.0,0.0,0.0,,,,,,,,,,
0.7022792022792023,0.21367521367521367,0.7022792022792023,0.07081212264183125,kNN,,0.6876780626780626,0.7197293447293447,0.0,-0.006711409395973305,3.2596809663941735,0.0,,,,,,,,,,
0.5135327635327636,0.4024216524216524,0.5135327635327636,0.020979092611824183,logistic_embedding_router,,0.49447115384615387,0.5308493589743589,0.0,-0.8959731543624161,2.121975596447432,0.0,,,,,,,,,,
0.915954415954416,0.0,0.915954415954416,0.02256418973869335,query_oracle,,0.905778133903134,0.9248931623931624,0.0,1.0,2.5105705671042657,0.0,,,,,,,,,,
0.7172364672364673,0.1987179487179487,0.7172364672364673,0.08254016162267074,dataset_label_lookup,,0.7000890313390313,0.7329059829059829,0.0,0.0637583892617451,2.5145287161273346,0.0,,,,,,,,,,
0.7222222222222222,0.19373219373219372,0.7222222222222222,0.07816589222034023,semantic_embedding_kmeans,16,0.7054665242165242,0.7395210113960113,0.0,0.08724832214765088,2.607028929515041,4.0,3.890203506504081,,,,,,,,,
0.7813390313390314,0.1346153846153846,0.7813390313390314,0.04093985232547995,flat_routecode_utility_oracle,16,0.7628472222222222,0.7952457264957264,0.0,0.36577181208053705,3.0656444960657625,4.0,3.8176847733395194,,,,,,,,,
0.6022079772079773,0.31374643874643876,0.6022079772079773,0.040823597780095644,flat_routecode_logistic_label_predictor,16,0.5847044159544159,0.6203881766381767,0.0,-0.47818791946308714,2.8822152143857247,4.0,3.4754968993374487,,,,,,,,,
0.7898860398860399,0.12606837606837606,0.7898860398860399,0.036830607156269964,d2_joint_oracle_labels,16,0.7784900284900285,0.8075231481481482,0.0,0.4060402684563758,2.4186540150111178,4.0,3.8243229800461362,0.0,0.0,1.0,1.0,0.0,9.011413264617971,252.80556276037018,0.079642113604945,9.011413264617971
0.6584757834757835,0.25747863247863245,0.6584757834757835,0.0729568935069309,d2_embedding_centroid,16,0.6426014957264958,0.6745192307692308,0.0,-0.2130872483221476,2.283635096714047,4.0,3.7427703943024992,0.0,0.0,0.22044159544159544,0.8313339534537667,0.6108923580121711,9.011413264617971,252.80556276037018,0.079642113604945,9.011413264617971
