state_label,qwen3_0_6b_vllm,qwen3_4b_vllm
z0,0.07852959375998819,0.07718681500000937
z1,0.061718185315893084,0.0755229877297342
z2,0.061718185315893084,0.0755229877297342
z3,0.03505789066655173,0.06687411666659804
z4,0.0859971455715921,0.07478396057148869
z5,0.05028192914290203,0.07180734571434524
z6,0.061718185315893084,0.0755229877297342
z7,0.05977373900024395,0.0763889839992844
z8,0.11545629999994708,0.088171394000492
z9,0.05730832883344586,0.09191689174995372
z10,0.052054713399916366,0.0734950924000943
z11,0.06083255185010293,0.0790371194249865
z12,0.061718185315893084,0.0755229877297342
z13,0.04519436225009303,0.06806759349990535
z14,0.061718185315893084,0.0755229877297342
z15,0.038413484000040625,0.06302355199991871
