query_id,qwen3_0_6b_vllm,qwen3_4b_vllm
aime:hybrid:16,0.05284470099951431,0.058494988000034935
aime:hybrid:17,0.03821395800008031,0.073034726999329
aime:hybrid:18,0.0401441109999796,0.07331121900025028
aime:hybrid:22,0.04083782099970267,0.07318384499941022
aime:hybrid:27,0.05696705600063433,0.07459283299995878
aime:hybrid:30,0.04295037100017362,0.07333219000084501
aime:hybrid:31,0.04553451999980462,0.07488673400003609
aime:hybrid:34,0.03360567499990429,0.0766109119997127
aime:hybrid:36,0.04035091299939086,0.074535732000375
aime:hybrid:37,0.04429499799990299,0.07743513299938787
aime:hybrid:39,0.03724638899933052,0.07771999400047935
aime:hybrid:4,0.04293749699989712,0.0736134029995883
aime:hybrid:44,0.05896211299990682,0.11316630799964332
aime:hybrid:53,0.042794235999266676,0.07837375999971119
math500:test:100,0.03732712599997467,0.1950805650000111
math500:test:102,0.04417703399989113,0.06072666800051229
math500:test:104,0.038555828999946244,0.12858192900024734
math500:test:109,0.04759340799984056,0.06305732600017655
math500:test:110,0.04046421000039845,0.08399668800028304
math500:test:124,0.05362345500005904,0.06379053000060231
math500:test:129,0.0343851209994973,0.07645179199990526
math500:test:13,0.03621213599984185,0.0734552509995483
math500:test:16,0.05897430199990049,0.11862035099953937
math500:test:24,0.056689978000453264,0.08859194100001332
math500:test:43,0.0382782210001169,0.0633261139998067
math500:test:46,0.051976973000193535,0.09546707100029016
math500:test:50,0.052962347999789924,0.068958352000147
math500:test:58,0.03716855000078067,0.07159639799939033
math500:test:6,0.03589149799991719,0.08407436300056725
math500:test:61,0.04977159300059429,0.12843520300033562
math500:test:69,0.05801712299952487,0.07551840800006904
math500:test:7,0.03776310800042847,0.06969015399993805
math500:test:71,0.04098012699976971,0.08382483100011451
math500:test:77,0.049429746000067096,0.06352616799964017
math500:test:8,0.04775224499986507,0.06997817900031078
math500:test:84,0.0512851250003805,0.19180793799989623
math500:test:85,0.05330582999985199,0.06079990200001339
math500:test:9,0.19770905599983962,0.09525685400015936
math500:test:92,0.03226999099993554,0.06199728400011372
math500:test:95,0.045308885000631564,0.0816260339999717
math500:test:99,0.08459222899946325,0.09757972600030916
