dataset,n_queries,best_single_utility,oracle_utility,oracle_gap
synthetic_math,137,0.17854218359451915,0.720530882976763,0.5419886993822439
synthetic_code,8,0.27428604966651593,0.7951997997311104,0.5209137500645944
synthetic_easy,122,0.2743035604847881,0.7189455160657947,0.4446419555810065
synthetic_data,57,0.2554506027776641,0.6581732383543724,0.40272263557670807
synthetic_debug,29,0.16124424551941538,0.4674855259818788,0.3062412804624634
synthetic_instructions,127,0.6279689097258834,0.6351501520662901,0.00718124234040669
