mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,ablation,split_seed,lambda_cost,train_fraction,train_query_count
0.5925893346232929,0.20997612259567544,0.5925893346232929,0.7704889807162535,best_single,,0.5768145842477719,0.6074108744601617,0.0,0.0,0.0,0.0,,k_lambda,,0.0,,
0.7128992323838982,0.08966622483507024,0.7128992323838982,0.4186774158699293,semantic_embedding_kmeans,4,0.6960326741561912,0.7299224894309427,0.6480651107009773,0.5729694227770408,1.938334741723672,2.0,1.938334741723672,k_lambda,,0.0,,
0.7406830256593999,0.06188243155956845,0.7406830256593999,0.23017423567223036,flat_routecode_utility_oracle,4,0.7214075208161086,0.7558990235689246,0.7977261726745246,0.7052882451842983,1.9162027277972429,2.0,1.9162027277972429,k_lambda,,0.0,,
0.6813572550154327,0.1212082022035357,0.6813572550154327,0.5727974936531087,d2_embedding_centroid,4,0.6624114147220741,0.7021797100601277,0.47816009510785706,0.4227524505872935,1.3579161005978144,2.0,1.9161208346919192,k_lambda,,0.0,,
0.7426795729341237,0.059885884284844586,0.7426795729341237,0.34346979149786633,semantic_embedding_kmeans,8,0.7262468394827795,0.759031467952793,0.8084808375416513,0.7147966942881436,1.9874603954742047,3.0,2.930424622784659,k_lambda,,0.0,,
0.7809034357802959,0.021662021438672425,0.7809034357802959,0.2883870455895857,flat_routecode_utility_oracle,8,0.7666700675321636,0.7948738494553075,1.014378709353615,0.8968357869890555,2.2324380753839845,3.0,2.8630578463859804,k_lambda,,0.0,,
0.7385247646362443,0.06404069258272407,0.7385247646362443,0.33595243882677034,d2_embedding_centroid,8,0.7196097532229789,0.7561315919483054,0.7861004154016183,0.6950096430438467,1.9858159591681661,3.0,2.935884139890801,k_lambda,,0.0,,
0.7785228395285428,0.02404261769042553,0.7785228395285428,0.2596925977691352,semantic_embedding_kmeans,16,0.7628298578568256,0.794610100476598,1.0015553140873625,0.8854983252704342,2.3119630468159187,4.0,3.7224842443123496,k_lambda,,0.0,,
0.7867125357915622,0.015852921427406123,0.7867125357915622,0.3014468717927942,flat_routecode_utility_oracle,16,0.7732522339614716,0.8028762666047478,1.0456701917000248,0.9245013136187293,2.3646972534620048,4.0,3.8499370494403804,k_lambda,,0.0,,
0.77854074734058,0.024024709878388333,0.77854074734058,0.26061627302436124,d2_embedding_centroid,16,0.764488871980874,0.792561152708477,1.0016517768755975,0.8855836102629169,2.3157717134481937,4.0,3.780448616307503,k_lambda,,0.0,,
0.7756933989867093,0.026872058232258987,0.7756933989867093,0.26932366782801276,semantic_embedding_kmeans,32,0.7583561611587788,0.7927169534483425,0.9863141599338294,0.8720232667406514,2.333145061834643,5.0,4.786714668299419,k_lambda,,0.0,,
0.7826451718936159,0.019920285325352362,0.7826451718936159,0.28744227029654834,flat_routecode_utility_oracle,32,0.7696639754859366,0.798726562905247,1.023760800337822,0.9051307116299582,2.3568151210068864,5.0,4.865834410023744,k_lambda,,0.0,,
0.77854074734058,0.024024709878388333,0.77854074734058,0.26061627302436124,d2_embedding_centroid,32,0.7629082087996784,0.7934937825956077,1.0016517768755975,0.8855836102629169,2.3157717134481937,5.0,4.8358907064810985,k_lambda,,0.0,,
0.7806244106236939,0.021941046595274523,0.7806244106236939,0.26185661764705886,semantic_embedding_kmeans,64,0.765544735916439,0.7947565416483788,1.0128757035962548,0.8955069446752119,2.30492525819116,6.0,5.6644326472338715,k_lambda,,0.0,,
0.7827891981581933,0.01977625906077498,0.7827891981581933,0.32522003119429593,flat_routecode_utility_oracle,64,0.7689814365261002,0.795691477604506,1.0245366167821421,0.9058166289752111,2.3033169510932416,6.0,5.829386658368667,k_lambda,,0.0,,
0.7779119437677617,0.024653513451206602,0.7779119437677617,0.26504398935882895,d2_embedding_centroid,64,0.7619216738507486,0.7905820832590753,0.9982646436088194,0.8825889670385106,2.311382623270167,6.0,5.623034885121148,k_lambda,,0.0,,
0.7762578489051635,0.026307608313804912,0.7762578489051635,0.2838795711121914,semantic_embedding_kmeans,128,0.7621604327170332,0.7895453008918536,0.9893546437651435,0.8747114291444361,2.3197064855950664,7.0,6.456262682651804,k_lambda,,0.0,,
0.7867889846920498,0.015776472526918495,0.7867889846920498,0.30054286177280837,flat_routecode_utility_oracle,128,0.7740687168276268,0.8003984269234377,1.0460819937718382,0.9248653973990306,2.3597488039734444,7.0,6.58114323873427,k_lambda,,0.0,,
0.7805255291761671,0.022039928042801214,0.7805255291761671,0.27976666734186784,d2_embedding_centroid,128,0.7662023243040952,0.7945793154657068,1.0123430656551502,0.8950360270951345,2.2953061224143294,7.0,6.518377349783486,k_lambda,,0.0,,
0.4974955846232929,0.2659509048792729,0.5925893346232929,0.7704889807162535,best_single,,0.48197659570610524,0.512179514495791,0.0,0.0,0.0,0.0,,k_lambda,,0.1,,
