mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,new_model_id,examples_per_label,calibration_query_count,new_model_evaluations,labels_switching_to_new_model
0.5867409072564272,0.08934806457229132,0.7059537145480939,0.27597473734672934,routecode_no_new_model,16,0.569310622717789,0.6047665597070887,0.7822049670952255,0.740729339936289,2.1613922878683773,4.0,3.6969485652592695,tiny_cheap,0,0,0,
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,query_oracle_with_new_model,,0.6630740632867617,0.6904090319196098,1.0559929584570038,1.0,2.3292543265432086,0.0,,tiny_cheap,full,1440,1440,
0.23274606476465326,0.44334290706406526,0.25232418976465326,0.04532288121860315,new_model_always,,0.20884530632175152,0.2596047305048953,-0.30253634590584644,-0.286494662187811,0.0,0.0,,tiny_cheap,always,0,0,
0.6659623358822467,0.010126635946471889,0.77854074734058,0.26061627302436124,routecode_label_calibration,16,0.650263824333099,0.6815671385751562,1.0249620533298618,0.9706144772286326,2.3157717134481937,4.0,3.6969485652592695,tiny_cheap,1,16,16,2
0.5737636066555782,0.1023253651731403,0.698040913947245,0.28769893115648465,direct_retraining_budgeted_logistic,,0.5526866003442462,0.5914278570187625,0.742438811199037,0.7030717442319635,2.1623057878499496,0.0,,tiny_cheap,1,16,16,
0.5762485682324207,0.09984040359629795,0.7004274015657539,0.28747096634797165,direct_retraining_budgeted_svm,,0.5572330095474812,0.5973331919894903,0.7500534432785535,0.7102826181478681,2.168748559067814,0.0,,tiny_cheap,1,16,16,
0.5860738086229974,0.0900151632057211,0.7115775742479974,0.2905381522443688,direct_retraining_budgeted_knn,,0.5700125902079374,0.6030172717468836,0.7801607863313638,0.7387935497896875,2.177700719599366,0.0,,tiny_cheap,1,16,16,
0.5638781856715499,0.11221078615716855,0.6940379721298834,0.3013167267595743,direct_retraining_budgeted_mlp,,0.5429602933156668,0.5852227181077045,0.712147057617818,0.6743861802434681,2.182863419073373,0.0,,tiny_cheap,1,16,16,
0.5765312113192932,0.09955776050942533,0.6987156644442932,0.2828540248744126,direct_retraining_budgeted_gradient_boosting,,0.5580740388893884,0.5947400438396953,0.7509195424313171,0.7111027932691388,2.192174286956736,0.0,,tiny_cheap,1,16,16,
0.6659623358822467,0.010126635946471889,0.77854074734058,0.26061627302436124,routecode_label_calibration,16,0.6510298130524514,0.6807006441328592,1.0249620533298618,0.9706144772286326,2.3157717134481937,4.0,3.6969485652592695,tiny_cheap,2,32,32,2
0.5753363771858228,0.10075259464289568,0.6996232001024896,0.28772095959595956,direct_retraining_budgeted_logistic,,0.5562236558224477,0.593820468431927,0.7472582293521884,0.7076356176125147,2.1652825762687984,0.0,,tiny_cheap,2,32,32,
0.5766045594236257,0.09948441240509283,0.7003760802569591,0.28652804785826175,direct_retraining_budgeted_svm,,0.5601888445448691,0.5963156281126059,0.7511443019742519,0.7113156351646598,2.1659866744883374,0.0,,tiny_cheap,2,32,32,
0.5860738086229974,0.0900151632057211,0.7115775742479974,0.2905381522443688,direct_retraining_budgeted_knn,,0.5673556082754553,0.6038285700364512,0.7801607863313638,0.7387935497896875,2.177700719599366,0.0,,tiny_cheap,2,32,32,
0.5627009085082385,0.11338806332048004,0.6974960439249053,0.312047446389024,direct_retraining_budgeted_mlp,,0.5440984616145534,0.5825576692793955,0.7085395441102553,0.6709699514905473,2.2112177556233616,0.0,,tiny_cheap,2,32,32,
0.5770185786247803,0.09907039320393814,0.6995594848747805,0.28367920515313566,direct_retraining_budgeted_gradient_boosting,,0.5585025919237121,0.5952345863033467,0.752412975067642,0.7125170381505698,2.1957734614466604,0.0,,tiny_cheap,2,32,32,
0.6659623358822467,0.010126635946471889,0.77854074734058,0.26061627302436124,routecode_label_calibration,16,0.6503215451229979,0.6824042078330108,1.0249620533298618,0.9706144772286326,2.3157717134481937,4.0,3.6969485652592695,tiny_cheap,4,64,64,2
0.5737636066555782,0.1023253651731403,0.698040913947245,0.28769893115648465,direct_retraining_budgeted_logistic,,0.5532584090972331,0.591601169416768,0.742438811199037,0.7030717442319635,2.1623057878499496,0.0,,tiny_cheap,4,64,64,
0.5756705092349163,0.1004184625938023,0.7004112748599163,0.288771825879112,direct_retraining_budgeted_svm,,0.5570672333498577,0.5955448635657429,0.7482821053925797,0.7086052036615422,2.174100966770585,0.0,,tiny_cheap,4,64,64,
0.5860726759037009,0.09001629592501761,0.7131371134037009,0.29415106951871656,direct_retraining_budgeted_knn,,0.56752548413057,0.6029092869980851,0.7801573153558878,0.7387902628591752,2.184387196319461,0.0,,tiny_cheap,4,64,64,
0.5590074629932681,0.11708150883545046,0.6925968484099347,0.3092561645870469,direct_retraining_budgeted_mlp,,0.5360731644136548,0.5809378659085508,0.6972217720511892,0.6602522928466834,2.198666905969669,0.0,,tiny_cheap,4,64,64,
0.5800394958368684,0.09604947599185017,0.7009788968785351,0.2799717597093934,direct_retraining_budgeted_gradient_boosting,,0.562963362602688,0.5983382117616607,0.7616699283047054,0.7212831508058941,2.215034732398519,0.0,,tiny_cheap,4,64,64,
0.6659623358822467,0.010126635946471889,0.77854074734058,0.26061627302436124,routecode_label_calibration,16,0.6499425482252313,0.6820697412294113,1.0249620533298618,0.9706144772286326,2.3157717134481937,4.0,3.6969485652592695,tiny_cheap,8,128,128,2
