mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z
0.24780834886609387,0.42828062296262465,0.3767846978244272,0.29857709785015935,random,6,0.22596319779005322,0.2720855932375393,-0.2498525993962398,-0.2427868509471103,2.5813120726437924,2.584962500721156,2.5813120726437924
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,best_single,,0.3107564266478084,0.3551441653082996,0.0,0.0,0.0,0.0,
0.653468837834028,0.022620133994690584,0.7638536972090278,0.25553825352455034,dataset_label_lookup,6,0.6362510134912777,0.6701334895271845,0.9615531866445887,0.9343607821880923,2.234183334286812,2.584962500721156,2.234183334286812
0.653468837834028,0.022620133994690584,0.7638536972090278,0.25553825352455034,dataset_oracle,6,0.6362510134912777,0.6701334895271845,0.9615531866445887,0.9343607821880923,2.234183334286812,2.584962500721156,2.234183334286812
0.5946370653360835,0.08145190649263503,0.7057209403360836,0.25715645762437206,predicted_topic_lookup,6,0.5710865186543572,0.6159000518152885,0.7858664940895216,0.7636424508926373,2.341203166824027,2.584962500721156,2.341203166824027
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,embedding_cluster_lookup,16,0.650657553484612,0.6817511781054671,1.0,0.971720332443194,2.3119630468159187,4.0,3.7224842443123496
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,kNN,,0.650657553484612,0.6817511781054671,1.0,0.971720332443194,2.3119630468159187,0.0,
0.6578162110588742,0.018272760769844274,0.7671005756422076,0.25299063495921786,logistic_embedding_router,,0.6388744592188258,0.675498504809371,0.9745355529875775,0.9469760115268007,2.282477263311114,0.0,
0.6367262573980235,0.0393627144306952,0.74871834593969,0.25925894979203806,mlp_embedding_router,,0.617777502424014,0.6544771219735196,0.9115555670464102,0.8857770786507819,2.3393688232187917,0.0,
0.662342182055346,0.013746789773372431,0.7721741508053462,0.25425832523091885,svm_embedding_router,,0.6452181002606513,0.6789840590433335,0.9880512578730298,0.9601094967712965,2.284541190878122,0.0,
0.6673325081012149,0.00875646372750351,0.7723213883095483,0.2430466935396748,routecode_oracle_labels,16,0.6512163868684376,0.6830441471429434,1.0029536454868102,0.9745904498175566,2.2998237339356313,4.0,3.9156195959938684
0.6504122838087285,0.02567668801999,0.7575080181837286,0.247924009479825,routecode_predicted_labels,16,0.6332293407255604,0.6683066826813834,0.9524255359803238,0.9254912584501874,2.2958895976506914,4.0,3.803510100202906
0.649650610995449,0.026438360833269618,0.7552473974537823,0.24445398166153515,routecode_mlp_predicted_labels,16,0.6302339742362839,0.6670052051803396,0.9501509865031875,0.9232810324761062,2.287706163268509,4.0,3.7801764158484565
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,query_oracle,6,0.6624285072246312,0.6908548702326,1.0291026817208841,1.0,2.3292543265432086,2.584962500721156,2.3292543265432086
