mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z
0.24780834886609387,0.42828062296262465,0.3767846978244272,0.29857709785015935,random,6,0.22596319779005322,0.2720855932375393,-0.2498525993962398,-0.2427868509471103,2.5813120726437924,2.584962500721156,2.5813120726437924
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,best_single,,0.3107564266478084,0.3551441653082996,0.0,0.0,0.0,0.0,
0.653468837834028,0.022620133994690584,0.7638536972090278,0.25553825352455034,dataset_oracle,6,0.6362510134912777,0.6701334895271845,0.9615531866445887,0.9343607821880923,2.234183334286812,2.584962500721156,2.234183334286812
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,kNN,,0.650657553484612,0.6817511781054671,1.0,0.971720332443194,2.3119630468159187,0.0,
0.6578162110588742,0.018272760769844274,0.7671005756422076,0.25299063495921786,logistic_embedding_router,,0.6388744592188258,0.675498504809371,0.9745355529875775,0.9469760115268007,2.282477263311114,0.0,
0.6367262573980235,0.0393627144306952,0.74871834593969,0.25925894979203806,mlp_embedding_router,,0.617777502424014,0.6544771219735196,0.9115555670464102,0.8857770786507819,2.3393688232187917,0.0,
0.662342182055346,0.013746789773372431,0.7721741508053462,0.25425832523091885,svm_embedding_router,,0.6452181002606513,0.6789840590433335,0.9880512578730298,0.9601094967712965,2.284541190878122,0.0,
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,query_oracle,,0.6624285072246312,0.6908548702326,1.0291026817208841,1.0,2.3292543265432086,0.0,
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,semantic_embedding_kmeans,1,0.31113950159920056,0.35315641874507925,0.0,0.0,0.0,0.0,0.0
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,routecode_oracle_labels,1,0.3126358818208259,0.35196143905814664,0.0,0.0,0.0,0.0,0.0
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,regret_routecode_oracle_labels,1,0.31171387979517934,0.3523319516153925,0.0,0.0,0.0,0.0,0.0
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,regret_routecode_predicted_labels,1,0.3107352380650944,0.35174652750038893,0.0,0.0,0.0,0.0,0.0
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,routecode_predicted_labels,1,0.31163020971953254,0.35035208555787745,0.0,0.0,0.0,0.0,0.0
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,routecode_mlp_predicted_labels,1,0.3106467625650541,0.35177424857240847,0.0,0.0,0.0,0.0,0.0
0.4004532479378218,0.2756357238908968,0.4839467687711551,0.19328546156754714,semantic_embedding_kmeans,2,0.3715213666522203,0.4282867745582141,0.2059840397981834,0.20015887963068285,0.990851089632101,1.0,0.990851089632101
0.4824361817698511,0.19365279005886749,0.603528525519851,0.2803258183438665,routecode_oracle_labels,2,0.45734085249360634,0.505209784628778,0.4508060106373822,0.43805736652394706,0.9901592635041827,1.0,0.9901592635041827
0.5107927023187082,0.1652962695100103,0.6382463689853749,0.2950521255334089,regret_routecode_oracle_labels,2,0.49044940160404527,0.5344262498098346,0.5354858204760636,0.520342459491617,0.991517547831098,1.0,0.991517547831098
0.4693117489626984,0.20677722286602013,0.5954628322960318,0.29203667692972507,regret_routecode_predicted_labels,2,0.4420666104647014,0.4925686070287259,0.4116131035797131,0.3999728218484536,0.9944701140306086,1.0,0.9944701140306086
0.4760399101632396,0.200049061665479,0.5960613997465728,0.2778468171014963,routecode_predicted_labels,2,0.4527405276281805,0.5010944425279614,0.43170511063834305,0.4194966336269166,0.9846039962086801,1.0,0.9846039962086801
0.47732859301708375,0.19876037881163475,0.5986424576004171,0.28083863366283157,routecode_mlp_predicted_labels,2,0.45613079092609116,0.5041617124201354,0.43555344664338547,0.4232361399690895,0.990851089632101,1.0,0.990851089632101
0.5584147421011684,0.1176742297275502,0.6527062004345017,0.21828242316210228,semantic_embedding_kmeans,4,0.5354657325135431,0.5845330928818081,0.6776973892741747,0.6585323324013856,1.938334741723672,2.0,1.938334741723672
0.6376137242221646,0.03847524760655405,0.7357292606804979,0.22713507062604657,routecode_oracle_labels,4,0.6198322686019712,0.6551972235225039,0.9142057695554565,0.8883523343139142,1.9150156305855939,2.0,1.9150156305855937
0.6481531115942,0.027935860234518627,0.7447511793025332,0.22362216753092426,regret_routecode_oracle_labels,4,0.6314796614989594,0.667781020963453,0.9456790709762872,0.9189355812336486,1.9255234682589206,2.0,1.9255234682589206
0.6170533040964938,0.05903566773222472,0.7118184290964938,0.2193789499270783,regret_routecode_predicted_labels,4,0.5969325657513749,0.6391300507646162,0.8528071059413705,0.8286900044952668,1.9776897811814425,2.0,1.977689781181442
0.6194826897337229,0.05660628209499564,0.7176445282753896,0.2272422588181278,routecode_predicted_labels,4,0.5959455654490484,0.6359876678948578,0.8600618716814384,0.8357396078720031,1.9179947472516359,2.0,1.9179947472516363
0.6189102829612192,0.05717868886749936,0.7169955225445525,0.2270649341003619,routecode_mlp_predicted_labels,4,0.5977923996968673,0.6408240445978485,0.8583525189220803,0.8340785950404168,1.898397240576823,2.0,1.898397240576823
0.6349587331250388,0.04113023870367972,0.7411348060417055,0.24579501566466808,semantic_embedding_kmeans,8,0.6128444258527106,0.6559863923968017,0.9062772883145851,0.880648067886765,2.143337205409796,3.0,2.930424622784659
0.6603648438059598,0.01572412802275868,0.7759571198476266,0.26759329592718634,routecode_oracle_labels,8,0.6448595303497238,0.6746798692045284,0.982146421041717,0.9543716467625504,2.1769373341937484,3.0,2.9765137305101943
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,regret_routecode_oracle_labels,8,0.6617203594955979,0.689488980367958,1.0291026817208841,1.0,2.3292543265432086,3.0,2.7010339092229385
0.6135307965282276,0.06255817530049097,0.734303801736561,0.2795865574191109,regret_routecode_predicted_labels,8,0.5962652221476118,0.6343321111904934,0.84228799903888,0.8184683744389731,2.297478830955873,3.0,2.7811892918566805
0.6421288894375267,0.033960082391191894,0.7568910092291933,0.26567150448333604,routecode_predicted_labels,8,0.6219951329522694,0.6608705307519982,0.9276892056197765,0.9014544632888118,2.185873985153714,3.0,2.977514716612621
0.6331861572113076,0.042902814617410974,0.7498880061696409,0.2701619301301788,routecode_mlp_predicted_labels,8,0.6156415509501847,0.6506891228425199,0.900983924093796,0.8755043982463969,2.1734185518949287,3.0,2.9628024001914763
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,semantic_embedding_kmeans,16,0.6495528544209658,0.6830867230464422,1.0,0.971720332443194,2.3119630468159187,4.0,3.7224842443123496
0.6673325081012149,0.00875646372750351,0.7723213883095483,0.2430466935396748,routecode_oracle_labels,16,0.652634574241496,0.6829396113646167,1.0029536454868102,0.9745904498175566,2.2998237339356313,4.0,3.9156195959938684
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,regret_routecode_oracle_labels,16,0.6620871223870943,0.6905513818968417,1.0291026817208841,1.0,2.3292543265432086,4.0,3.4452405252213354
0.6502736564389033,0.025815315389815244,0.7650315470639033,0.26566171406579164,regret_routecode_predicted_labels,16,0.6319390586506013,0.665918677477579,0.9520115592621645,0.925088988855994,2.3291499498718364,4.0,3.62746717345862
0.6504122838087285,0.02567668801999,0.7575080181837286,0.247924009479825,routecode_predicted_labels,16,0.6354548333379723,0.667171656399009,0.9524255359803238,0.9254912584501874,2.2958895976506914,4.0,3.803510100202906
0.649650610995449,0.026438360833269618,0.7552473974537823,0.24445398166153515,routecode_mlp_predicted_labels,16,0.6294654565814423,0.6664778426217152,0.9501509865031875,0.9232810324761062,2.287706163268509,4.0,3.7801764158484565
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,semantic_embedding_kmeans,32,0.6490879753488223,0.6823393897501776,1.0,0.971720332443194,2.3119630468159187,5.0,4.786714668299419
0.6688336649087051,0.007255306920013357,0.7803983159503718,0.2582694424188408,routecode_oracle_labels,32,0.6537189671169122,0.6851689940724901,1.0074364829624904,0.9789465141397133,2.347777796448107,5.0,4.853431479672498
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,regret_routecode_oracle_labels,32,0.6611885400870825,0.6898978420789847,1.0291026817208841,1.0,2.3292543265432086,5.0,4.548543338459396
0.6431871773327533,0.03290179449596533,0.7571193596244199,0.26375021944039323,regret_routecode_predicted_labels,32,0.6239491234388386,0.6601382910930345,0.9308495234580659,0.9045254083892605,2.339558289973973,5.0,4.589462655992102
0.652272637397206,0.023816334431512497,0.7644793926055394,0.25975589788256903,routecode_predicted_labels,32,0.635231899375828,0.6707002023154799,0.9579810267477314,0.9308896417855779,2.3247509067827483,5.0,4.5617220826597045
0.642426230782837,0.033662741045881524,0.752020090157837,0.25370710784313727,routecode_mlp_predicted_labels,32,0.6232440043217166,0.6611061010021815,0.9285771427887489,0.9023172898898343,2.286726021834908,5.0,4.5669895051238285
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,semantic_embedding_kmeans,64,0.650917535325191,0.6818835355055646,1.0,0.971720332443194,2.3119630468159187,6.0,5.6644326472338715
0.6692590197527474,0.006829952075971083,0.7779772593360809,0.25168006941068444,routecode_oracle_labels,64,0.6532005187573467,0.6847009588994494,1.0087067011207937,0.9801808109507752,2.3250766599592216,6.0,5.795038259449287
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,regret_routecode_oracle_labels,64,0.6624038056055419,0.6917896550378446,1.0291026817208841,1.0,2.3292543265432086,6.0,5.641032081487855
0.6475715625419798,0.028517409286738845,0.755205458375313,0.24916984011235352,regret_routecode_predicted_labels,64,0.6284607398976446,0.6660739050880388,0.9439424170356522,0.917248039289116,2.315599973712004,6.0,5.578923717033323
0.6554366066784854,0.020652365150233273,0.7646047056368186,0.25272148287689733,routecode_predicted_labels,64,0.6377718837012165,0.6695761948041778,0.9674294467896948,0.9400708636498175,2.297178783568393,6.0,5.405833510063245
0.6424860910780067,0.03360288075071184,0.7501105077446734,0.24914789607302978,routecode_mlp_predicted_labels,64,0.6245406430351165,0.6600451566948152,0.9287559009125858,0.902490992793356,2.353452217920776,6.0,5.097845070153442
0.6658124489746259,0.010276522854092699,0.7749748604329592,0.2527083164533031,semantic_embedding_kmeans,128,0.650879637424449,0.6827984169958037,0.9984143608604988,0.9701795346514229,2.293362410904771,7.0,6.456262682651804
0.6708517476465728,0.0052372241821456705,0.7831529299382396,0.25997449427429375,routecode_oracle_labels,128,0.6551756909384929,0.6848366199873664,1.0134629932385635,0.9848025967086514,2.3032008209081742,7.0,6.6415313655198345
0.6760889718287186,0.0,0.7891331384953851,0.26169448495651704,regret_routecode_oracle_labels,128,0.6625775985991303,0.6909788286795615,1.0291026817208841,1.0,2.3292543265432086,7.0,6.552244249440827
0.6460221207013411,0.030066851127377368,0.756647276951341,0.2560945349214066,regret_routecode_predicted_labels,128,0.6298687726110447,0.6641139032339638,0.9393153881237194,0.9127518612165884,2.331289456447255,7.0,6.327221880601294
0.6488998222146871,0.027189149614031547,0.7620169420063536,0.26186336965915846,routecode_predicted_labels,128,0.63297502867629,0.6669028326170098,0.9479089395258657,0.9211023898419498,2.301235366092422,7.0,6.182103195325564
0.6432443358976203,0.03284463593109826,0.7616981536059536,0.2742176949981095,routecode_mlp_predicted_labels,128,0.6257478219410624,0.6614731672811712,0.9310202135254615,0.9046912713982949,2.324505228795285,7.0,5.984430530538318
