query_id,probe_cost
math500:test:6,0.07657232400013891
math500:test:7,0.06220637200015699
math500:test:8,0.06263671400022941
math500:test:9,0.09328127000029417
math500:test:13,0.07092502999986028
math500:test:16,0.11904756299997098
math500:test:24,0.08402471800014609
math500:test:43,0.05506211100023938
math500:test:46,0.09188089199964088
math500:test:50,0.061669869000008475
math500:test:58,0.07002246199973161
math500:test:61,0.1231031889998485
math500:test:69,0.07097252600006687
math500:test:71,0.07711584700017193
math500:test:77,0.05501496100001168
math500:test:84,0.18886638399965158
math500:test:85,0.05634439500013832
math500:test:92,0.054721010999997814
math500:test:95,0.08146192200020597
math500:test:99,0.09194399799983875
math500:test:100,0.1917785000001677
math500:test:102,0.060684069999893835
math500:test:104,0.12300862499991126
math500:test:109,0.0548510530003623
math500:test:110,0.08011109599964039
math500:test:124,0.0630586160001767
math500:test:129,0.06939448300018558
aime:hybrid:4,0.07178814100025921
aime:hybrid:16,0.055961769000219645
aime:hybrid:17,0.0718354449997678
aime:hybrid:18,0.070466595999922
aime:hybrid:22,0.07026614600018366
aime:hybrid:27,0.0732514890002749
aime:hybrid:30,0.0710128610000611
aime:hybrid:31,0.07088141200002429
aime:hybrid:34,0.06983047000013176
aime:hybrid:36,0.07315529299986157
aime:hybrid:37,0.07119526500010398
aime:hybrid:39,0.07066787799995655
aime:hybrid:44,0.11023289300018223
aime:hybrid:53,0.07913189799974862
