candidate,candidate_type,selection_basis,deployable,n_queries,mean_utility,oracle_mean_utility,abs_gap_to_oracle,relative_gap_to_oracle,threshold,within_threshold,regret_count,notes,val_relative_gap_to_oracle,test_relative_gap_to_oracle
combined_policy:margin_threshold,proberoute_policy,current_phase2_policy_table,True,41,0.8399013963292644,0.9268292682926829,0.08692787196341845,0.09379059869737254,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
confidence_policy:margin_threshold,proberoute_policy,current_phase2_policy_table,True,41,0.8333903991463496,0.9268292682926829,0.09343886914633326,0.10081562197367537,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
answer_inputs:after_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.8292682926829268,0.926829268292683,0.09756097560975618,0.10526315789473693,0.03,False,4.0,Best action for top predicted state only; no belief averaging.,,
answer_inputs:before_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.8292682926829268,0.926829268292683,0.09756097560975618,0.10526315789473693,0.03,False,4.0,Best action for top predicted state only; no belief averaging.,,
combined_inputs:after_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.8292682926829268,0.926829268292683,0.09756097560975618,0.10526315789473693,0.03,False,4.0,Best action for top predicted state only; no belief averaging.,,
combined_inputs:before_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.8292682926829268,0.926829268292683,0.09756097560975618,0.10526315789473693,0.03,False,4.0,Best action for top predicted state only; no belief averaging.,,
confidence_inputs:after_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.8292682926829268,0.926829268292683,0.09756097560975618,0.10526315789473693,0.03,False,4.0,Best action for top predicted state only; no belief averaging.,,
confidence_inputs:before_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.8292682926829268,0.926829268292683,0.09756097560975618,0.10526315789473693,0.03,False,4.0,Best action for top predicted state only; no belief averaging.,,
answer_policy:entropy_threshold,proberoute_policy,current_phase2_policy_table,True,41,0.8205820923414381,0.9268292682926828,0.10624717595124467,0.114635110894764,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
combined_policy:entropy_threshold,proberoute_policy,current_phase2_policy_table,True,41,0.7824625828780355,0.9268292682926829,0.14436668541464737,0.15576405531580376,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
answer_policy:always_probe,proberoute_policy,current_phase2_policy_table,True,41,0.7726966449511858,0.926829268292683,0.15413262334149713,0.16630098834214163,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
confidence_policy:entropy_threshold,proberoute_policy,current_phase2_policy_table,True,41,0.7443430734146328,0.9268292682926829,0.18248619487805007,0.19689299973684352,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
combined_policy:always_probe,proberoute_policy,current_phase2_policy_table,True,41,0.6903813939512143,0.9268292682926829,0.23644787434146852,0.2551148117894792,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
confidence_policy:always_probe,proberoute_policy,current_phase2_policy_table,True,41,0.6080661429512432,0.9268292682926831,0.3187631253414399,0.3439286352368167,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
