model_id,provider,role,enabled,env_key_names,api_key_available,status
gpt-5.5,openai,frontier_general,True,"OPENAI_API_KEY,openai_api_key",False,blocked_no_api_key
gemini-3.5-flash,google,frontier_efficient,True,"GEMINI_API_KEY,GOOGLE_API_KEY,gemini_api_key,google_api_key",False,blocked_no_api_key
