probe_cost_multiplier,policy,status,n_queries,mean_utility,mean_utility_ci_low,mean_utility_ci_high,mean_net_utility,mean_net_utility_ci_low,mean_net_utility_ci_high,mean_quality,mean_model_cost,mean_probe_cost_proxy,fraction_probed,mean_oracle_regret,observability_gap_closed,observability_gap_closed_ci_low,observability_gap_closed_ci_high,mean_latency_sec,notes
0.0,never_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,always_probe,executed,41,0.8536585365853658,0.7189024390243904,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,1.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,entropy_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.4146341463414634,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,margin_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0975609756097561,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,voi_probe,executed,41,0.8536585365853658,0.7432926829268295,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,oracle_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.01,never_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.01,always_probe,executed,41,0.8536585365853658,0.7189024390243904,0.9512195121951219,0.8512026126490246,0.7292990419866222,0.9488665482308599,,,0.002455923936341228,1.0,0.0756266556436583,-0.03356429379666301,-1.6995797595161615,1.3011761591550846,0.0,Routed through state belief and state-model utility.
0.01,entropy_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8525653819536585,0.7306524531628718,0.9503363323194817,,,0.0010931546317073306,0.4146341463414634,0.07426388633902441,-0.014939779966666941,-1.6810831401074176,1.3212632083662486,0.0,Routed through state belief and state-model utility.
0.01,margin_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8534558552109757,0.7314733931498477,0.9509091883733782,,,0.00020268137439016288,0.0975609756097561,0.07337341308170724,-0.0027699787833322916,-1.6698636269520795,1.329092241102835,0.0,Routed through state belief and state-model utility.
0.01,voi_probe,executed,41,0.8536585365853658,0.7432926829268295,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.01,oracle_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.05,never_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.05,always_probe,executed,41,0.8536585365853658,0.7189024390243904,0.9512195121951219,0.8413789169036598,0.7196659416404282,0.9394546923738111,,,0.01227961968170614,1.0,0.0854503513890232,-0.16782146898331504,-1.8312321309141462,1.172547462442084,0.0,Routed through state belief and state-model utility.
0.05,entropy_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8481927634268293,0.7264329975216757,0.9468036128169205,,,0.005465773158536653,0.4146341463414634,0.07863650486585372,-0.0746988998333332,-1.7387490338704308,1.2729827084979126,0.0,Routed through state belief and state-model utility.
