query_id,probe_cost
math500:test:6,0.0
math500:test:7,0.0
math500:test:8,0.0
math500:test:9,0.0
math500:test:13,0.0
math500:test:16,0.0
math500:test:24,0.0
math500:test:43,0.0
math500:test:46,0.0
math500:test:50,0.0
math500:test:58,0.0
math500:test:61,0.0
math500:test:69,0.0
math500:test:71,0.0
math500:test:77,0.0
math500:test:84,0.0
math500:test:85,0.0
math500:test:92,0.0
math500:test:95,0.0
math500:test:99,0.0
math500:test:100,0.0
math500:test:102,0.0
math500:test:104,0.0
math500:test:109,0.0
math500:test:110,0.0
math500:test:124,0.0
math500:test:129,0.0
aime:hybrid:4,0.0
aime:hybrid:16,0.0
aime:hybrid:17,0.0
aime:hybrid:18,0.0
aime:hybrid:22,0.0
aime:hybrid:27,0.0
aime:hybrid:30,0.0
aime:hybrid:31,0.0
aime:hybrid:34,0.0
aime:hybrid:36,0.0
aime:hybrid:37,0.0
aime:hybrid:39,0.0
aime:hybrid:44,0.0
aime:hybrid:53,0.0
