probe_cost_multiplier,policy,status,n_queries,mean_utility,mean_utility_ci_low,mean_utility_ci_high,mean_net_utility,mean_net_utility_ci_low,mean_net_utility_ci_high,mean_quality,mean_model_cost,mean_probe_cost_proxy,fraction_probed,mean_oracle_regret,observability_gap_closed,observability_gap_closed_ci_low,observability_gap_closed_ci_high,mean_latency_sec,notes
0.0,never_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,always_probe,executed,41,0.8536585365853658,0.7189024390243904,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,1.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,entropy_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.4146341463414634,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,margin_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0975609756097561,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,voi_probe,executed,41,0.8536585365853658,0.7432926829268295,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.0,oracle_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.01,never_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.01,always_probe,executed,41,0.8536585365853658,0.7189024390243904,0.9512195121951219,0.8445320842192678,0.7225678244651158,0.9424898588452925,,,0.00912645236609783,1.0,0.08229718407341491,-0.12472818233667245,-1.7915730656434155,1.2140280708856628,0.0,Routed through state belief and state-model utility.
0.01,entropy_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8497378400260973,0.7278856847711523,0.9481613450929329,,,0.003920696559268415,0.4146341463414634,0.07709142826658548,-0.053582852976669745,-1.7188956414609162,1.291538382936749,0.0,Routed through state belief and state-model utility.
0.01,margin_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8529001389707316,0.7308355045181707,0.9500721161135671,,,0.000758397614634138,0.0975609756097561,0.07392912932195121,-0.010364767400001465,-1.6785814382516653,1.3176522535520832,0.0,Routed through state belief and state-model utility.
0.01,voi_probe,executed,41,0.8536585365853658,0.7432926829268295,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.01,oracle_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.05,never_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
0.05,always_probe,executed,41,0.8536585365853658,0.7189024390243904,0.9512195121951219,0.8080262747548766,0.6860098540328958,0.9075712454459741,,,0.04563226183048915,1.0,0.11880299353780624,-0.6236409116833517,-2.2911986615504216,0.7368070210949792,0.0,Routed through state belief and state-model utility.
0.05,entropy_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8340550537890237,0.7125991555630788,0.9359286766841765,,,0.019603482796342074,0.4146341463414634,0.09277421450365914,-0.2679142648833427,-1.9278115406379204,1.124358581350411,0.0,Routed through state belief and state-model utility.
