probe_variant,n_aligned_queries,n_test,query_only_state_accuracy,query_plus_probe_state_accuracy,state_accuracy_delta,query_plus_probe_ci_low,query_plus_probe_ci_high,mean_probe_cost_proxy,selected_model_changes,policy_rows,mean_before_utility,mean_after_utility,mean_utility_delta,nonzero_predicted_gain_rows,never_probe_mean_net_utility,voi_probe_mean_net_utility,voi_probe_fraction_probed,always_probe_mean_net_utility
confidence_probe,164,41,0.6097560975609756,0.6341463414634146,0.024390243902439046,0.4878048780487805,0.7804878048780488,0.2265694211402303,2,41,0.8536585365853658,0.8536585365853658,0.0,0,0.8536585365853658,0.8536585365853658,0.0,0.6080661429512432
answer_output_probe,164,41,0.6097560975609756,0.6585365853658537,0.04878048780487809,0.5121951219512195,0.7804878048780488,0.0769647420121964,1,41,0.8536585365853658,0.8536585365853658,0.0,0,0.8536585365853658,0.8536585365853658,0.0,0.7726966449511858
combined_probe,164,41,0.6097560975609756,0.6341463414634146,0.024390243902439046,0.4878048780487805,0.7804878048780488,0.1517670815762134,1,41,0.8536585365853658,0.8536585365853658,0.0,0,0.8536585365853658,0.8536585365853658,0.0,0.6903813939512143
