query_id,probe_cost
math500:test:6,0.7630989530001425
math500:test:7,0.4410496770000373
math500:test:8,0.6520757829999384
math500:test:9,0.6477886759999801
math500:test:13,1.4430808219999545
math500:test:16,0.9841310320001958
math500:test:24,1.073348101999849
math500:test:43,0.36212733800004027
math500:test:46,0.4115129180000513
math500:test:50,0.4865161060001283
math500:test:58,0.5236167939998868
math500:test:61,0.6877028300001002
math500:test:69,0.6537042830000428
math500:test:71,0.5564739820001178
math500:test:77,1.2883100859999086
math500:test:84,1.6075371200001627
math500:test:85,0.6019757740000096
math500:test:92,0.439414291999914
math500:test:95,0.8274642720000466
math500:test:99,1.114641583000106
math500:test:100,1.297296139999975
math500:test:102,0.4003820139999916
math500:test:104,1.5812701390000239
math500:test:109,0.5724496890000373
math500:test:110,0.5324405459998561
math500:test:124,0.6477414560000616
math500:test:129,0.5100760469999077
aime:hybrid:4,0.819254709000119
aime:hybrid:16,1.0010240620000876
aime:hybrid:17,1.371641114000111
aime:hybrid:18,1.1029104620001235
aime:hybrid:22,0.6538482879999483
aime:hybrid:27,1.3040600760001253
aime:hybrid:30,0.5629791210000494
aime:hybrid:31,1.5379534729999196
aime:hybrid:34,1.258594072000049
aime:hybrid:36,1.3908046440001254
aime:hybrid:37,0.9279514069999605
aime:hybrid:39,1.5032567230000478
aime:hybrid:44,1.2714565919998204
aime:hybrid:53,1.6054935040001492
