policy,status,n_queries,mean_utility,mean_utility_ci_low,mean_utility_ci_high,mean_net_utility,mean_net_utility_ci_low,mean_net_utility_ci_high,mean_quality,mean_model_cost,mean_probe_cost_proxy,fraction_probed,mean_oracle_regret,observability_gap_closed,observability_gap_closed_ci_low,observability_gap_closed_ci_high,mean_latency_sec,notes
never_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
always_probe,executed,41,0.8536585365853658,0.7189024390243904,0.9512195121951219,0.6903813939512143,0.5699043508262294,0.7920062930643075,,,0.1632771426341514,1.0,0.2364478743414685,-2.231454282666735,-3.877973872041528,-0.8425806614544635,0.0,Routed through state belief and state-model utility.
entropy_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.7824625828780355,0.6564236216823064,0.8941707517057955,,,0.07119595370733037,0.4146341463414634,0.14436668541464742,-0.9730113673335138,-2.6955438370084766,0.5536669399792052,0.0,Routed through state belief and state-model utility.
margin_threshold,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8399013963292644,0.7159336837039605,0.9303109807131064,,,0.013757140256101434,0.0975609756097561,0.08692787196341852,-0.18801425016671922,-1.8822396560458714,1.0475834030791196,0.0,Routed through state belief and state-model utility.
voi_probe,executed,41,0.8536585365853658,0.7432926829268295,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
oracle_probe,executed,41,0.8536585365853658,0.7560975609756098,0.9512195121951219,0.8536585365853658,0.7317073170731707,0.9512195121951219,,,0.0,0.0,0.07317073170731707,0.0,-1.6666666666666652,1.333333333333332,0.0,Routed through state belief and state-model utility.
