check_id,status,base_url,model_id,models_endpoint_status,model_listed,completion_status,latency_sec,tokens_input,tokens_output,blocking_reasons,error_type,error_message,created_at
local_openai_server:qwen3_4b_vllm,ready,http://localhost:8001/v1,qwen3_4b_vllm,ok,True,ok,0.20475860799979273,15,8,,,,2026-06-17T17:38:25.478274+00:00
local_openai_server:qwen3_0_6b_vllm,ready,http://localhost:8002/v1,qwen3_0_6b_vllm,ok,True,ok,0.02518986799987033,15,8,,,,2026-06-17T17:38:25.701966+00:00
