group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,72,0.1062683741718983,0.092630849394962,0.1406063944470415,0.1379246036247895,334.5,453.9978237214364
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,72,0.111099682102491,0.0977634660831446,0.1430494473572631,0.1402206009710835,382.0,474.6644178454842
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,72,0.111996227457347,0.098421010730067,0.1442621497776516,0.1413677539692875,385.0,478.4585418933624
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.1147309769308811,0.1013754214474158,0.1278213303639304,0.1254235355508875,393.0,490.1242655059848
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.1160774619685938,0.1026602866390088,0.1294629118905618,0.1268227723979967,397.0,495.89640914036994
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.120685045657153,0.1071636241959862,0.1325537946388142,0.1304455099204486,434.5,515.6287268770402
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.1222180671174199,0.1085596365619499,0.1328205423019444,0.1308604137244791,435.0,522.0853101196954
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,train,17,145,0.1490021364380178,0.1308250925616018,0.2263945166151503,0.1812293598623908,214.0,636.4639825897715
routecode_state_k8,learned_probe_state,train,8,66,0.1626854799227766,0.1443098052611012,0.1702647911212766,0.1608607076039575,744.0,694.8576713819369
benchmark_label,diagnostic_label,train,9,81,0.1672226974787165,0.1510945223070302,0.1884001175331151,0.1911901526956108,777.0,714.226768226333
text_cluster_k8,train_fit_text_cluster,train,8,71,0.1766745901224968,0.1598555945575178,0.1930734763407844,0.1770697903109673,793.0,754.5810663764962
random_k8,random_baseline,train,8,72,0.2422026039167246,0.2125623874352407,0.2383631621856311,0.2370539208976499,1041.5,1034.3014145810664
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,val,8,72,0.0998791123724875,0.0893106568130124,0.2482121789115364,0.217594857796283,271.5,426.828216374269
predicted_utility_state_rf_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.1242299004633048,0.110083500637237,0.3350824074412223,0.3395907628828173,7.5,530.6275679257786
predicted_utility_state_rf_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.1245007330186026,0.1097740158376341,0.343264425379125,0.3406133142779283,9.0,531.7514910536779
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.1260101982348213,0.1106426938173302,0.3167219870877951,0.3192885735073489,429.0,538.2001325381048
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.1262145703581433,0.1113206197583832,0.3133953680187072,0.3188793440939342,449.0,539.1073558648111
predicted_utility_state_extratrees_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.1308892030605896,0.1161657862920873,0.3895145259224781,0.376350088798132,328.0,559.0563286944997
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.1332629231109608,0.1165537558678711,0.3369071240932272,0.3311315196555026,469.5,569.196819085487
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.1339416825429034,0.1178816949194682,0.3512037271392314,0.3366808413922284,534.0,572.0762094102055
predicted_utility_state_extratrees_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.1383646902997506,0.1210617009821781,0.4269491482014272,0.3946467711388502,432.5,590.9138502319416
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.1440668243568007,0.128392997033423,0.3126091115446899,0.2846385121651421,673.0,615.4393638170974
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.1455438205278394,0.1298014839323911,0.2528785251904996,0.2492739768903838,576.0,621.6660039761431
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.1458944980305024,0.1298097245223791,0.3107498302248824,0.2896050985048515,609.5,623.2657388999337
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.1465875595610485,0.1304948548882055,0.2544260837223409,0.2508777432981498,616.0,626.1113320079523
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.1475258841681138,0.1299336908467966,0.3304094756916552,0.2925016490368054,655.0,630.2014579191517
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.1481768040133809,0.1318922629847403,0.2544307973558459,0.2504360629681146,596.0,632.9211398277005
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.1495207476387616,0.1331553892630159,0.3144262669676407,0.2916639309103191,629.5,638.649436713055
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.1502728011293747,0.1330241475954419,0.2566795670831111,0.2531817838621105,611.5,641.9138502319416
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,val,13,113,0.1505060955852898,0.1328568867862517,0.3047940291678969,0.2923115446966227,328.0,642.8614976805832
benchmark_label,diagnostic_label,val,9,81,0.1624529312567429,0.1514013561727279,0.3057352289361545,0.3168988299676864,754.0,693.90788601723
routecode_state_k8,learned_probe_state,val,7,61,0.1645652639548548,0.146332447439633,0.2911109585699086,0.2759720206889773,646.0,702.8760768721007
text_cluster_k8,train_fit_text_cluster,val,8,70,0.1765023307734058,0.1613568218028145,0.2724674239153608,0.29437632811741,719.0,753.8336646785951
random_k8,random_baseline,val,8,72,0.2436909651219976,0.2193826299856783,0.4299306519906258,0.4145977967778693,1064.0,1040.7355864811134
