heldout_model,heldout_model_type,method,budget,seed,acquisition,n_new_model_evals,group_count,n_test_queries,mean_quality,mean_utility,query_oracle_mean_utility,query_oracle_regret,new_model_selection_rate,frontier_call_rate,remote_cost_per_1k_queries,mean_normalized_cost,training_time_s,full_calibration_mean_utility,regret_to_full_calibration
deterministic_math_tool,verifiable_action,full_predicted_utility_state_calibration,-1,-1,all_train,516,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,full_direct_probe_regressor_retrain,-1,-1,direct_regressor,516,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.1825753901355309,0.0930232558139534,0.4418604651162791,1.2993866279069752,0.180184026030984,0.0370532259985338,0.6636797769356672,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,20,17,random_query,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,20,17,uniform_group,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,20,17,adaptive_value,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,20,18,random_query,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,20,18,uniform_group,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,20,18,adaptive_value,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,20,19,uniform_group,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,20,19,adaptive_value,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,20,17,direct_regressor,20,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.1825753901355309,0.0872093023255814,0.4418604651162791,1.2993866279069752,0.180184026030984,0.0779405439971014,0.6636797769356672,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,20,18,direct_regressor,20,0,172,0.7209302325581395,0.657865823447295,0.8462551670711981,0.188389343623903,0.0813953488372093,0.4418604651162791,1.2993866279069752,0.180184026030984,0.0767698479976388,0.6636797769356672,0.0058139534883721
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,20,19,random_query,20,6,172,0.7034883720930233,0.6215415627590193,0.8462551670711981,0.2247136043121788,0.0,0.4709302325581395,1.6884418604651146,0.2341337409542971,0.0,0.6960180768933092,0.0744765141342899
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,20,19,direct_regressor,20,0,172,0.6686046511627907,0.5868574801619264,0.8462551670711981,0.2593976869092717,0.0,0.5,1.6843284883720917,0.2335633457167547,0.0747863910000887,0.6636797769356672,0.0768222967737407
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,40,17,random_query,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.0930232558139534,0.377906976744186,1.1122499999999984,0.1542340660191166,0.0,0.6960180768933092,0.0
