heldout_model,heldout_model_type,method,budget,seed,acquisition,n_new_model_evals,group_count,n_test_queries,mean_quality,mean_utility,query_oracle_mean_utility,query_oracle_regret,new_model_selection_rate,frontier_call_rate,remote_cost_per_1k_queries,mean_normalized_cost,training_time_s,full_calibration_mean_utility,regret_to_full_calibration
gemini-3.5-flash,frontier,full_predicted_utility_state_calibration,-1,-1,all_train,516,6,172,0.6453488372093024,0.5627321460337803,0.7347558481518913,0.172023702118111,0.1104651162790697,0.313953488372093,1.7022441860465116,0.2360476890729202,0.0,0.5627321460337803,0.0
gemini-3.5-flash,frontier,full_direct_probe_regressor_retrain,-1,-1,direct_regressor,516,0,172,0.5813953488372093,0.5608785949383663,0.7347558481518913,0.1738772532135249,0.2906976744186046,0.3372093023255814,0.4227296511627906,0.0586192968538369,0.0325602559969411,0.5608785949383663,0.0
gemini-3.5-flash,frontier,direct_probe_regressor_retrain,20,18,direct_regressor,20,0,172,0.5813953488372093,0.5567000164842302,0.7347558481518913,0.1780558316676611,0.1744186046511628,0.2441860465116279,0.508825581395349,0.0705580924370831,0.0318890100024873,0.5608785949383663,0.0041785784541361
gemini-3.5-flash,frontier,direct_probe_regressor_retrain,20,19,direct_regressor,20,0,172,0.563953488372093,0.5492687133698356,0.7347558481518913,0.1854871347820557,0.1744186046511628,0.2267441860465116,0.3025668604651162,0.0419565000064496,0.0334445740008959,0.5608785949383663,0.0116098815685307
gemini-3.5-flash,frontier,direct_probe_regressor_retrain,20,17,direct_regressor,20,0,172,0.5581395348837209,0.5451386351507385,0.7347558481518913,0.1896172130011528,0.1627906976744186,0.2151162790697674,0.2678720930232558,0.0371454278085213,0.0319935020015691,0.5608785949383663,0.0157399597876278
gemini-3.5-flash,frontier,random_query_predicted_utility_state,20,19,random_query,20,6,172,0.5406976744186046,0.536703779058518,0.7347558481518913,0.1980520690933733,0.2034883720930232,0.2034883720930232,0.0822906976744186,0.0114111296002476,0.0,0.5627321460337803,0.0260283669752623
gemini-3.5-flash,frontier,active_predicted_utility_state,20,17,validation_selected:pilot_gain_active,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.1998939465151977,0.0,0.2034883720930232,1.6775290697674416,0.2326204803735665,0.0,0.5627321460337803,0.0278702443970867
gemini-3.5-flash,frontier,uniform_predicted_utility_state,20,18,uniform_group,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.1998939465151977,0.0,0.2034883720930232,1.6775290697674416,0.2326204803735665,0.0,0.5627321460337803,0.0278702443970867
gemini-3.5-flash,frontier,uniform_predicted_utility_state,20,19,uniform_group,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.1998939465151977,0.0,0.2034883720930232,1.6775290697674416,0.2326204803735665,0.0,0.5627321460337803,0.0278702443970867
gemini-3.5-flash,frontier,active_predicted_utility_state,20,19,validation_selected:pilot_gain_active,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.1998939465151977,0.0,0.2034883720930232,1.6775290697674416,0.2326204803735665,0.0,0.5627321460337803,0.0278702443970867
