heldout_model_type,method,budget,mean_utility,mean_quality,regret_to_full_calibration,n_new_model_evals,new_model_selection_rate,training_time_s
cheap_local,calibration_aware_route_state,20,0.7113613905168128,0.7403100775193798,0.028168135641815566,20.0,0.08914728682170543,0.0
cheap_local,direct_probe_regressor_retrain,20,0.6734966198569756,0.7339747948683076,-0.0038704085885418182,20.0,0.06606147150822793,0.033950397664739285
cheap_local,active_route_state_calibration,20,0.6723237120138991,0.7906976744186046,0.0,20.0,0.06395348837209303,0.0
cheap_local,random_query_route_state_calibration,20,0.6667621297085428,0.7790697674418604,0.0055615823053563425,20.0,0.09496124031007752,0.0
cheap_local,uniform_route_state_calibration,20,0.6612005474031863,0.7674418604651163,0.011123164610712685,20.0,0.10465116279069768,0.0
cheap_local,dataset_stratified_calibration,20,0.6303560445602191,0.7383720930232558,0.03411818199340081,20.0,0.15503875968992248,0.0
cheap_local,embedding_cluster_calibration,20,0.5821836112441049,0.7286821705426356,0.021298500516275836,20.0,0.04069767441860465,0.0
cheap_local,calibration_aware_route_state,40,0.7395295261586284,0.7790697674418605,0.0,40.0,0.02131782945736434,0.0
cheap_local,active_route_state_calibration,40,0.6723237120138991,0.7906976744186046,0.0,40.0,0.06395348837209303,0.0
cheap_local,uniform_route_state_calibration,40,0.6723237120138991,0.7906976744186046,0.0,40.0,0.04263565891472868,0.0
cheap_local,direct_probe_regressor_retrain,40,0.6722672194026522,0.7339861281109751,-0.0026410081342184513,40.0,0.07192075796726959,0.034583801665576175
cheap_local,random_query_route_state_calibration,40,0.6628295285172684,0.7655038759689923,0.009494183496630707,40.0,0.1182170542635659,0.0
cheap_local,dataset_stratified_calibration,40,0.6474151355569195,0.7558139534883721,0.017059090996700405,40.0,0.07751937984496124,0.0
cheap_local,embedding_cluster_calibration,40,0.590982834070399,0.7112403100775193,0.012499277689981861,40.0,0.10077519379844961,0.0
cheap_local,calibration_aware_route_state,80,0.7395295261586284,0.7790697674418605,0.0,80.0,0.04263565891472868,0.0
cheap_local,direct_probe_regressor_retrain,80,0.6801060940454082,0.7364341085271318,-0.010479882776974425,80.0,0.1298449612403101,0.03462503066596886
cheap_local,active_route_state_calibration,80,0.6723237120138991,0.7906976744186046,0.0,80.0,0.06395348837209303,0.0
