heldout_model,heldout_model_type,method,budget,seed,acquisition,n_new_model_evals,group_count,n_test_queries,mean_quality,mean_utility,query_oracle_mean_utility,query_oracle_regret,new_model_selection_rate,frontier_call_rate,remote_cost_per_1k_queries,mean_normalized_cost,training_time_s,full_calibration_mean_utility,regret_to_full_calibration
gemini-3.5-flash,frontier,full_predicted_utility_state_calibration,-1,-1,all_train,516,6,172,0.6453488372093024,0.5627321460337803,0.7347558481518913,0.17202370211811102,0.11046511627906977,0.313953488372093,1.7022441860465116,0.23604768907292029,0.0,0.5627321460337803,0.0
gemini-3.5-flash,frontier,full_direct_probe_regressor_retrain,-1,-1,direct_regressor,516,0,172,0.5813953488372093,0.5608785949383663,0.7347558481518913,0.17387725321352498,0.29069767441860467,0.3372093023255814,0.42272965116279065,0.058619296853836926,0.03256025599694112,0.5608785949383663,0.0
gemini-3.5-flash,frontier,direct_probe_regressor_retrain,20,18,direct_regressor,20,0,172,0.5813953488372093,0.5567000164842302,0.7347558481518913,0.17805583166766115,0.1744186046511628,0.2441860465116279,0.508825581395349,0.07055809243708318,0.03188901000248734,0.5608785949383663,0.0041785784541361615
gemini-3.5-flash,frontier,direct_probe_regressor_retrain,20,19,direct_regressor,20,0,172,0.563953488372093,0.5492687133698356,0.7347558481518913,0.1854871347820557,0.1744186046511628,0.22674418604651161,0.30256686046511627,0.04195650000644969,0.033444574000895955,0.5608785949383663,0.011609881568530711
gemini-3.5-flash,frontier,direct_probe_regressor_retrain,20,17,direct_regressor,20,0,172,0.5581395348837209,0.5451386351507385,0.7347558481518913,0.18961721300115286,0.16279069767441862,0.21511627906976744,0.2678720930232558,0.03714542780852133,0.03199350200156914,0.5608785949383663,0.015739959787627877
gemini-3.5-flash,frontier,random_query_predicted_utility_state,20,19,random_query,20,6,172,0.5406976744186046,0.536703779058518,0.7347558481518913,0.19805206909337336,0.20348837209302326,0.20348837209302326,0.0822906976744186,0.011411129600247667,0.0,0.5627321460337803,0.02602836697526234
gemini-3.5-flash,frontier,active_predicted_utility_state,20,17,validation_selected:pilot_gain_active,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.19989394651519776,0.0,0.20348837209302326,1.6775290697674416,0.23262048037356656,0.0,0.5627321460337803,0.02787024439708674
gemini-3.5-flash,frontier,uniform_predicted_utility_state,20,18,uniform_group,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.19989394651519776,0.0,0.20348837209302326,1.6775290697674416,0.23262048037356656,0.0,0.5627321460337803,0.02787024439708674
gemini-3.5-flash,frontier,uniform_predicted_utility_state,20,19,uniform_group,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.19989394651519776,0.0,0.20348837209302326,1.6775290697674416,0.23262048037356656,0.0,0.5627321460337803,0.02787024439708674
gemini-3.5-flash,frontier,active_predicted_utility_state,20,19,validation_selected:pilot_gain_active,20,6,172,0.6162790697674418,0.5348619016366936,0.7347558481518913,0.19989394651519776,0.0,0.20348837209302326,1.6775290697674416,0.23262048037356656,0.0,0.5627321460337803,0.02787024439708674
gemini-3.5-flash,frontier,random_query_predicted_utility_state,20,17,random_query,20,6,172,0.622093023255814,0.5318059874728851,0.7347558481518913,0.20294986067900622,0.313953488372093,0.5174418604651163,1.8602848837209303,0.2579629593797969,0.0,0.5627321460337803,0.0309261585608952
gemini-3.5-flash,frontier,uniform_predicted_utility_state,20,17,uniform_group,20,6,172,0.622093023255814,0.5318059874728851,0.7347558481518913,0.20294986067900622,0.313953488372093,0.5174418604651163,1.8602848837209303,0.2579629593797969,0.0,0.5627321460337803,0.0309261585608952
gemini-3.5-flash,frontier,random_query_predicted_utility_state,20,18,random_query,20,6,172,0.622093023255814,0.5318059874728851,0.7347558481518913,0.20294986067900622,0.313953488372093,0.5174418604651163,1.8602848837209303,0.2579629593797969,0.0,0.5627321460337803,0.0309261585608952
