group_method,deployability,split,group_id,model_id,n_queries,mean_utility,utility_variance,quality_variance,ci_width_utility_95,samples_needed_for_0p03
benchmark_label,diagnostic_label,test,math500,qwen3-32b-awq-local,20,0.25,0.1973684210526316,0.1973684210526316,0.3894125129771229,843.0
benchmark_label,diagnostic_label,test,math500,qwen3-4b-local,20,0.3,0.2210526315789474,0.2210526315789474,0.41211546670167193,944.0
benchmark_label,diagnostic_label,test,math500,qwen3-8b-local,20,0.25,0.19736842105263155,0.19736842105263155,0.38941251297712287,843.0
benchmark_label,diagnostic_label,test,mbpp,gemini-3.5-flash,20,0.08017993450330871,0.08962712548330633,0.09473684210526316,0.2624162972289143,383.0
benchmark_label,diagnostic_label,test,mbpp,gpt-5.5,20,0.275038577260942,0.4348708996307585,0.2394736842105263,0.5780311493373903,1857.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-14b-awq-local,20,0.75,0.19736842105263155,0.19736842105263155,0.38941251297712287,843.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-32b-awq-local,20,0.8,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-4b-local,20,0.2,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-8b-local,20,0.2,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,mmlupro,gemini-3.5-flash,20,0.05483063494059829,0.08771576577633029,0.09473684210526315,0.25960311469870717,375.0
benchmark_label,diagnostic_label,test,mmlupro,gpt-5.5,20,-0.1907956348438527,0.2557125026567905,0.16842105263157897,0.44324827133477385,1092.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-14b-awq-local,20,0.55,0.2605263157894737,0.2605263157894737,0.4474009152285771,1113.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-32b-awq-local,20,0.6,0.2526315789473685,0.2526315789473685,0.44056996576802887,1079.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-4b-local,20,0.15,0.13421052631578945,0.13421052631578945,0.3211177845883771,573.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-8b-local,20,0.05,0.04999999999999999,0.04999999999999999,0.19599999999999998,214.0
benchmark_label,diagnostic_label,train,aime,gemini-3.5-flash,36,0.03503579179727307,0.05510199755747168,0.053968253968253985,0.15336225590150315,236.0
benchmark_label,diagnostic_label,train,aime,gpt-5.5,36,-0.24772511509129183,0.30051963379976165,0.21825396825396823,0.3581551844297485,1283.0
benchmark_label,diagnostic_label,train,aime,qwen3-14b-awq-local,36,0.0,0.0,0.0,0.0,0.0
