model_id,provider,successful_queries,mean_quality,total_cost_usd,mean_latency_s,coverage_rate,selected_for_live_claim_eval,cost_normalization_usd
gpt-5.5,openai,860,0.6511627906976745,6.20184,5.198668097618015,1.0,True,0.007211441860465117
gemini-3.5-flash,google,860,0.36627906976744184,0.495084,4.088180236206498,1.0,True,0.007211441860465117
qwen3-14b-awq-local,local,859,0.4819557625145518,0.0,0.30576837132224105,0.9988372093023256,True,0.007211441860465117
qwen3-8b-local,local,859,0.3259604190919674,0.0,3.05799707905655,0.9988372093023256,True,0.007211441860465117
qwen3-32b-awq-local,local,819,0.4981684981684982,0.0,1.3106688472086403,0.9523255813953488,True,0.007211441860465117
qwen3-4b-local,local,814,0.3574938574938575,0.0,3.1242893761440342,0.9465116279069767,True,0.007211441860465117
