heldout_model,heldout_model_type,method,budget,seed,acquisition,n_new_model_evals,group_count,n_test_queries,mean_quality,mean_utility,query_oracle_mean_utility,query_oracle_regret,new_model_selection_rate,frontier_call_rate,remote_cost_per_1k_queries,mean_normalized_cost,training_time_s,full_calibration_mean_utility,regret_to_full_calibration
deterministic_math_tool,verifiable_action,full_predicted_utility_state_calibration,-1,-1,all_train,516,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,full_direct_probe_regressor_retrain,-1,-1,direct_regressor,516,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.18257539013553092,0.09302325581395349,0.4418604651162791,1.2993866279069752,0.18018402603098407,0.03705322599853389,0.6636797769356672,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,20,17,random_query,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,20,17,uniform_group,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,20,17,adaptive_value,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,20,18,random_query,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,20,18,uniform_group,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,20,18,adaptive_value,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,20,19,uniform_group,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,20,19,adaptive_value,20,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,20,17,direct_regressor,20,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.18257539013553092,0.0872093023255814,0.4418604651162791,1.2993866279069752,0.18018402603098407,0.07794054399710149,0.6636797769356672,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,20,18,direct_regressor,20,0,172,0.7209302325581395,0.657865823447295,0.8462551670711981,0.18838934362390303,0.08139534883720931,0.4418604651162791,1.2993866279069752,0.18018402603098407,0.07676984799763886,0.6636797769356672,0.005813953488372103
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,20,19,random_query,20,6,172,0.7034883720930233,0.6215415627590193,0.8462551670711981,0.2247136043121788,0.0,0.47093023255813954,1.6884418604651146,0.23413374095429715,0.0,0.6960180768933092,0.0744765141342899
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,20,19,direct_regressor,20,0,172,0.6686046511627907,0.5868574801619264,0.8462551670711981,0.2593976869092717,0.0,0.5,1.6843284883720915,0.23356334571675477,0.07478639100008877,0.6636797769356672,0.07682229677374075
