group_method,deployability,split,group_id,model_id,n_queries,mean_utility,utility_variance,quality_variance,ci_width_utility_95,samples_needed_for_0p03
benchmark_label,diagnostic_label,test,humaneval,gpt-5.5,20,0.48601939101943953,0.2479858620171276,0.13421052631578945,0.4365002835107894,1059.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-14b-awq-local,20,0.65,0.2394736842105263,0.2394736842105263,0.4289433774434938,1023.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-32b-awq-local,20,0.9,0.09473684210526313,0.09473684210526313,0.26979290303178055,405.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-32b-awq-selfconsistency-n3-local,20,0.8,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-4b-local,19,0.631578947368421,0.24561403508771928,0.24561403508771928,0.4456930445220844,1049.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-8b-local,20,0.7,0.2210526315789474,0.2210526315789474,0.41211546670167193,944.0
benchmark_label,diagnostic_label,test,livemathbench,deterministic_math_tool,20,0.4,0.2526315789473684,0.2526315789473684,0.4405699657680288,1079.0
benchmark_label,diagnostic_label,test,livemathbench,gemini-3.5-flash,20,0.18308105336480787,0.17150124141349693,0.16842105263157894,0.3629983936642392,733.0
benchmark_label,diagnostic_label,test,livemathbench,gemini-3.5-flash-strong-solve,20,0.21450369567741215,0.32285311047439286,0.2631578947368421,0.49805070207729407,1379.0
benchmark_label,diagnostic_label,test,livemathbench,gpt-5.5,20,0.20109918991783093,0.39063417100524755,0.25263157894736843,0.547843085442129,1668.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-14b-awq-local,20,0.1,0.09473684210526315,0.09473684210526315,0.2697929030317806,405.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-32b-awq-local,20,0.05,0.04999999999999999,0.04999999999999999,0.19599999999999998,214.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-32b-awq-selfconsistency-n3-local,20,0.05,0.04999999999999999,0.04999999999999999,0.19599999999999998,214.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-4b-local,20,0.1,0.09473684210526315,0.09473684210526315,0.2697929030317806,405.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-8b-local,20,0.1,0.09473684210526315,0.09473684210526315,0.2697929030317806,405.0
benchmark_label,diagnostic_label,test,math500,deterministic_math_tool,20,0.2,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,math500,gemini-3.5-flash,20,0.5848974376959096,0.25702830124991954,0.2526315789473684,0.44438720100418977,1098.0
benchmark_label,diagnostic_label,test,math500,gemini-3.5-flash-strong-solve,20,0.7163049393405829,0.1402792431846934,0.09473684210526313,0.32829765171816816,599.0
benchmark_label,diagnostic_label,test,math500,gpt-5.5,20,0.509147970602273,0.3343642906966953,0.16842105263157894,0.5068518243314163,1428.0
benchmark_label,diagnostic_label,test,math500,qwen3-14b-awq-local,20,0.25,0.1973684210526316,0.1973684210526316,0.3894125129771229,843.0
benchmark_label,diagnostic_label,test,math500,qwen3-32b-awq-local,20,0.25,0.1973684210526316,0.1973684210526316,0.3894125129771229,843.0
benchmark_label,diagnostic_label,test,math500,qwen3-32b-awq-selfconsistency-n3-local,20,0.2,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,math500,qwen3-4b-local,20,0.3,0.2210526315789474,0.2210526315789474,0.41211546670167193,944.0
benchmark_label,diagnostic_label,test,math500,qwen3-8b-local,20,0.25,0.19736842105263155,0.19736842105263155,0.38941251297712287,843.0
benchmark_label,diagnostic_label,test,mbpp,deterministic_math_tool,20,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,mbpp,gemini-3.5-flash,20,0.08017993450330871,0.08962712548330633,0.09473684210526316,0.2624162972289143,383.0
benchmark_label,diagnostic_label,test,mbpp,gemini-3.5-flash-strong-solve,20,0.27439370815757913,0.33355002371098896,0.26052631578947366,0.5062342878723517,1424.0
benchmark_label,diagnostic_label,test,mbpp,gpt-5.5,20,0.275038577260942,0.4348708996307585,0.2394736842105263,0.5780311493373903,1857.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-14b-awq-local,20,0.75,0.19736842105263155,0.19736842105263155,0.38941251297712287,843.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-32b-awq-local,20,0.8,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-32b-awq-selfconsistency-n3-local,20,0.5,0.2631578947368421,0.2631578947368421,0.44965483838630105,1124.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-4b-local,20,0.2,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,mbpp,qwen3-8b-local,20,0.2,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,mmlupro,deterministic_math_tool,20,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,mmlupro,gemini-3.5-flash,20,0.05483063494059829,0.08771576577633029,0.09473684210526315,0.25960311469870717,375.0
benchmark_label,diagnostic_label,test,mmlupro,gemini-3.5-flash-strong-solve,20,0.7465974251189972,0.1257994935214287,0.09473684210526313,0.3108926934850417,537.0
benchmark_label,diagnostic_label,test,mmlupro,gpt-5.5,20,-0.1907956348438527,0.2557125026567905,0.16842105263157897,0.44324827133477385,1092.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-14b-awq-local,20,0.55,0.2605263157894737,0.2605263157894737,0.4474009152285771,1113.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-32b-awq-local,20,0.6,0.2526315789473685,0.2526315789473685,0.44056996576802887,1079.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-32b-awq-selfconsistency-n3-local,20,0.3,0.2210526315789474,0.2210526315789474,0.41211546670167193,944.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-4b-local,20,0.15,0.13421052631578945,0.13421052631578945,0.3211177845883771,573.0
benchmark_label,diagnostic_label,test,mmlupro,qwen3-8b-local,20,0.05,0.04999999999999999,0.04999999999999999,0.19599999999999998,214.0
benchmark_label,diagnostic_label,train,aime,deterministic_math_tool,36,0.3333333333333333,0.22857142857142856,0.22857142857142856,0.31235307657272154,976.0
benchmark_label,diagnostic_label,train,aime,gemini-3.5-flash,36,0.03503579179727307,0.05510199755747168,0.053968253968253985,0.15336225590150315,236.0
benchmark_label,diagnostic_label,train,aime,gemini-3.5-flash-strong-solve,36,-0.08487437464795389,0.21366738628336265,0.19285714285714287,0.3019979085921266,913.0
benchmark_label,diagnostic_label,train,aime,gpt-5.5,36,-0.24772511509129183,0.30051963379976165,0.21825396825396823,0.3581551844297485,1283.0
benchmark_label,diagnostic_label,train,aime,qwen3-14b-awq-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,aime,qwen3-32b-awq-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,aime,qwen3-32b-awq-selfconsistency-n3-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,aime,qwen3-4b-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,aime,qwen3-8b-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,bbh,deterministic_math_tool,60,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,bbh,gemini-3.5-flash,60,0.7725395689021323,0.1733703853939281,0.15225988700564969,0.21071618709048975,741.0
benchmark_label,diagnostic_label,train,bbh,gemini-3.5-flash-strong-solve,60,0.7717804957883471,0.11961712701302128,0.09152542372881353,0.1750278368590213,511.0
benchmark_label,diagnostic_label,train,bbh,gpt-5.5,60,0.49349504878122197,0.3939343853447577,0.1522598870056497,0.31763063818849097,1682.0
benchmark_label,diagnostic_label,train,bbh,qwen3-14b-awq-local,60,0.6666666666666666,0.22598870056497167,0.22598870056497167,0.24057683347742848,965.0
benchmark_label,diagnostic_label,train,bbh,qwen3-32b-awq-local,39,0.8974358974358975,0.09446693657219972,0.09446693657219972,0.19292729693100413,404.0
benchmark_label,diagnostic_label,train,bbh,qwen3-32b-awq-selfconsistency-n3-local,60,0.75,0.19067796610169493,0.19067796610169493,0.22098393223283166,814.0
benchmark_label,diagnostic_label,train,bbh,qwen3-4b-local,38,0.868421052631579,0.1173541963015647,0.1173541963015647,0.21784298558754142,501.0
benchmark_label,diagnostic_label,train,bbh,qwen3-8b-local,60,0.5,0.25423728813559315,0.25423728813559315,0.25517026552241473,1086.0
benchmark_label,diagnostic_label,train,gpqa,deterministic_math_tool,60,0.0,0.0,0.0,0.0,0.0
