group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,72,0.10626837417189836,0.09263084939496201,0.1406063944470415,0.13792460362478956,334.5,453.99782372143636
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,72,0.11109968210249102,0.09776346608314461,0.14304944735726316,0.14022060097108355,382.0,474.6644178454842
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,72,0.11199622745734708,0.09842101073006708,0.14426214977765162,0.14136775396928755,385.0,478.45854189336234
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.11473097693088112,0.10137542144741582,0.12782133036393048,0.12542353555088756,393.0,490.12426550598474
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.11607746196859389,0.10266028663900889,0.1294629118905618,0.12682277239799677,397.0,495.89640914036994
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.12068504565715309,0.10716362419598627,0.13255379463881423,0.13044550992044868,434.5,515.6287268770402
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,54,0.12221806711741995,0.10855963656194997,0.13282054230194446,0.1308604137244791,435.0,522.0853101196954
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,train,17,145,0.14900213643801782,0.13082509256160185,0.2263945166151503,0.18122935986239083,214.0,636.4639825897715
routecode_state_k8,learned_probe_state,train,8,66,0.16268547992277668,0.1443098052611012,0.17026479112127665,0.16086070760395754,744.0,694.8576713819369
benchmark_label,diagnostic_label,train,9,81,0.16722269747871651,0.15109452230703022,0.1884001175331151,0.19119015269561088,777.0,714.226768226333
text_cluster_k8,train_fit_text_cluster,train,8,71,0.17667459012249687,0.15985559455751783,0.19307347634078442,0.1770697903109673,793.0,754.5810663764962
random_k8,random_baseline,train,8,72,0.24220260391672468,0.2125623874352407,0.2383631621856311,0.23705392089764993,1041.5,1034.3014145810664
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,val,8,72,0.09987911237248755,0.08931065681301245,0.24821217891153646,0.21759485779628304,271.5,426.828216374269
predicted_utility_state_rf_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.12422990046330484,0.11008350063723706,0.3350824074412223,0.3395907628828173,7.5,530.6275679257786
predicted_utility_state_rf_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.12450073301860261,0.10977401583763413,0.343264425379125,0.34061331427792835,9.0,531.7514910536779
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.12601019823482135,0.11064269381733022,0.31672198708779514,0.31928857350734896,429.0,538.2001325381048
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.12621457035814335,0.11132061975838328,0.3133953680187072,0.31887934409393426,449.0,539.1073558648111
predicted_utility_state_extratrees_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.13088920306058965,0.1161657862920873,0.3895145259224781,0.376350088798132,328.0,559.0563286944997
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.1332629231109608,0.11655375586787117,0.33690712409322726,0.33113151965550264,469.5,569.196819085487
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,144,0.1339416825429034,0.11788169491946829,0.3512037271392314,0.3366808413922284,534.0,572.0762094102055
predicted_utility_state_extratrees_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,val,24,216,0.13836469029975063,0.1210617009821781,0.4269491482014272,0.39464677113885027,432.5,590.9138502319416
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.14406682435680074,0.12839299703342308,0.31260911154468995,0.28463851216514213,673.0,615.4393638170974
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.14554382052783948,0.1298014839323911,0.25287852519049964,0.24927397689038386,576.0,621.6660039761431
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.14589449803050242,0.12980972452237916,0.31074983022488245,0.28960509850485155,609.5,623.2657388999337
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.14658755956104857,0.13049485488820559,0.2544260837223409,0.2508777432981498,616.0,626.1113320079523
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.14752588416811382,0.1299336908467966,0.3304094756916552,0.2925016490368054,655.0,630.2014579191517
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.14817680401338093,0.13189226298474038,0.25443079735584595,0.25043606296811466,596.0,632.9211398277005
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,72,0.14952074763876164,0.13315538926301593,0.3144262669676407,0.2916639309103191,629.5,638.649436713055
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,54,0.15027280112937474,0.13302414759544195,0.2566795670831111,0.2531817838621105,611.5,641.9138502319416
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,val,13,113,0.15050609558528985,0.13285688678625177,0.30479402916789694,0.2923115446966227,328.0,642.8614976805832
benchmark_label,diagnostic_label,val,9,81,0.16245293125674293,0.15140135617272796,0.30573522893615457,0.3168988299676864,754.0,693.90788601723
routecode_state_k8,learned_probe_state,val,7,61,0.16456526395485485,0.14633244743963303,0.2911109585699086,0.27597202068897736,646.0,702.8760768721007
text_cluster_k8,train_fit_text_cluster,val,8,70,0.17650233077340585,0.16135682180281458,0.27246742391536083,0.29437632811741005,719.0,753.8336646785951
random_k8,random_baseline,val,8,72,0.24369096512199762,0.21938262998567837,0.42993065199062586,0.41459779677786934,1064.0,1040.7355864811134
