state_label,qwen3_0_6b_vllm,qwen3_4b_vllm
z0,0.0,0.08
z1,0.0348484848484848,0.1271861471861471
z2,0.0348484848484848,0.1271861471861471
z3,0.3333333333333333,0.3333333333333333
z4,0.0,0.1428571428571428
z5,0.0,0.1428571428571428
z6,0.0348484848484848,0.1271861471861471
z7,0.0,0.0
z8,0.0,0.0
z9,0.0,0.125
z10,0.0,0.1
z11,0.05,0.225
z12,0.0348484848484848,0.1271861471861471
z13,0.0,0.25
z14,0.0348484848484848,0.1271861471861471
z15,0.0,0.0
