policy,status,n_queries,mean_utility,mean_utility_ci_low,mean_utility_ci_high,mean_net_utility,mean_net_utility_ci_low,mean_net_utility_ci_high,mean_quality,mean_model_cost,mean_probe_cost_proxy,fraction_probed,mean_oracle_regret,observability_gap_closed,observability_gap_closed_ci_low,observability_gap_closed_ci_high,mean_latency_sec,notes
never_probe,executed,41,0.9024390243902439,0.8048780487804879,0.975609756097561,0.9024390243902439,0.8048780487804879,0.975609756097561,,,0.0,0.0,0.024390243902439025,0.0,-3.9999999999999956,2.9999999999999956,0.0,Routed through state belief and state-model utility.
always_probe,executed,41,0.9024390243902439,0.8048780487804879,0.975609756097561,0.9024390243902439,0.8048780487804879,0.975609756097561,,,0.0,1.0,0.024390243902439025,0.0,-3.9999999999999956,2.9999999999999956,0.0,Routed through state belief and state-model utility.
entropy_threshold,executed,41,0.9024390243902439,0.8048780487804879,0.975609756097561,0.9024390243902439,0.8048780487804879,0.975609756097561,,,0.0,0.0,0.024390243902439025,0.0,-3.9999999999999956,2.9999999999999956,0.0,Routed through state belief and state-model utility.
margin_threshold,executed,41,0.9024390243902439,0.8048780487804879,0.975609756097561,0.9024390243902439,0.8048780487804879,0.975609756097561,,,0.0,0.0,0.024390243902439025,0.0,-3.9999999999999956,2.9999999999999956,0.0,Routed through state belief and state-model utility.
voi_probe,executed,41,0.9024390243902439,0.8048780487804879,0.975609756097561,0.9024390243902439,0.8048780487804879,0.975609756097561,,,0.0,0.0,0.024390243902439025,0.0,-3.9999999999999956,2.9999999999999956,0.0,Routed through state belief and state-model utility.
oracle_probe,executed,41,0.9024390243902439,0.8048780487804879,0.975609756097561,0.9024390243902439,0.8048780487804879,0.975609756097561,,,0.0,0.0,0.024390243902439025,0.0,-3.9999999999999956,2.9999999999999956,0.0,Routed through state belief and state-model utility.
