method,split,state_method,predictor,k,policy_kind,n_queries,mean_quality,mean_utility,oracle_mean_utility,utility_gap_to_oracle,oracle_utility_ratio,remote_cost_total_usd,frontier_call_rate,mean_latency_s,confidence_threshold,active_probe_rate,selected_models_json,strategy,budget,labeled_queries,state_accuracy,mean_confidence
relative_kmeans_k2_knn_active_low_confidence_active_labels_b64,test,relative_kmeans,knn,2,active_query_state_learning_active_low_confidence,170,0.48823529411764705,0.4833212282920212,0.7316353287183842,0.24831410042636304,0.6606040049195843,0.0172125,0.21176470588235294,2.3645804615581736,,0.0,"{""gemini-3.5-flash"": 36, ""qwen3-32b-awq-local"": 134}",active_low_confidence,64,64,0.4823529411764706,0.7047226103404075
relative_kmeans_k2_knn_random_active_labels_b64,test,relative_kmeans,knn,2,active_query_state_learning_random,170,0.5411764705882353,0.5227132867968595,0.7316353287183842,0.20892204192152475,0.7144451153179052,0.064671,0.7294117647058823,3.6653026987524595,,0.0,"{""gemini-3.5-flash"": 124, ""qwen3-32b-awq-local"": 46}",random,64,64,0.6823529411764706,0.8189246628702228
relative_kmeans_k2_mlp_active_low_confidence_active_labels_b64,test,relative_kmeans,mlp,2,active_query_state_learning_active_low_confidence,170,0.5588235294117647,0.5511978413806605,0.7316353287183842,0.1804374873377237,0.7533778369426221,0.0267105,0.4411764705882353,2.29139727564419,,0.0,"{""gemini-3.5-flash"": 75, ""qwen3-32b-awq-local"": 95}",active_low_confidence,64,64,0.7235294117647059,0.7696672232301117
relative_kmeans_k2_mlp_random_active_labels_b64,test,relative_kmeans,mlp,2,active_query_state_learning_random,170,0.5529411764705883,0.5410609138009137,0.7316353287183842,0.1905744149174705,0.739522672789322,0.041613000000000004,0.45294117647058824,2.4267753629123465,,0.0,"{""gemini-3.5-flash"": 77, ""qwen3-32b-awq-local"": 93}",random,64,64,0.6411764705882353,0.6529984265231092
relative_kmeans_k2_torch_mlp_active_low_confidence_active_labels_b64,test,relative_kmeans,torch_mlp,2,active_query_state_learning_active_low_confidence,170,0.5411764705882353,0.5306811394113777,0.7316353287183842,0.20095418930700648,0.7253355853400071,0.036762,0.5411764705882353,2.663626199610093,,0.0,"{""gemini-3.5-flash"": 92, ""qwen3-32b-awq-local"": 78}",active_low_confidence,64,64,0.7058823529411765,0.9647272229194641
relative_kmeans_k2_torch_mlp_random_active_labels_b64,test,relative_kmeans,torch_mlp,2,active_query_state_learning_random,170,0.5235294117647059,0.5066922591663499,0.7316353287183842,0.22494306955203436,0.6925475565182585,0.0589755,0.6647058823529411,3.096268997472875,,0.0,"{""gemini-3.5-flash"": 113, ""qwen3-32b-awq-local"": 57}",random,64,64,0.6294117647058823,0.9507561326026917
