state_method,predictor,split,k,n_queries,state_accuracy,mean_confidence,ece,confidence_threshold,active_probe_rate,covered_state_accuracy,covered_queries
relative_kmeans,knn,test,2,170,0.7235294117647059,0.7821274870557622,0.10914449630444917,0.61,0.22941176470588234,0.8244274809160306,131
relative_kmeans,mlp,test,2,170,0.6941176470588235,0.9305205345359056,0.2364028874770821,0.88,0.17647058823529413,0.7357142857142858,140
relative_kmeans,torch_mlp,test,2,170,0.6882352941176471,0.9737949925310472,0.30544952434651995,0.9500000000000001,0.1,0.6993464052287581,153
relative_kmeans,knn,test,4,170,0.5,0.6040210209172376,0.1442651913072856,0.4,0.07058823529411765,0.5,158
relative_kmeans,mlp,test,4,170,0.47058823529411764,0.6423121947533167,0.17816483927308815,0.51,0.27058823529411763,0.5,124
relative_kmeans,torch_mlp,test,4,170,0.4470588235294118,0.9615223965224098,0.5144635729929979,0.99,0.27058823529411763,0.49193548387096775,124
relative_kmeans,knn,test,8,170,0.40588235294117647,0.45892488649841745,0.09532492150874453,0.26,0.041176470588235294,0.4171779141104294,163
relative_kmeans,mlp,test,8,170,0.38823529411764707,0.3484186000065415,0.06534291510648117,0.31,0.4294117647058823,0.422680412371134,97
relative_kmeans,torch_mlp,test,8,170,0.37058823529411766,0.8927748453967711,0.5221866101026535,0.84,0.2411764705882353,0.3798449612403101,129
relative_kmeans,knn,test,16,170,0.34705882352941175,0.3481090203722467,0.08004275201579228,0.26,0.19411764705882353,0.38686131386861317,137
relative_kmeans,mlp,test,16,170,0.3176470588235294,0.33470647940127085,0.0917674155438774,0.22,0.20588235294117646,0.32592592592592595,135
relative_kmeans,torch_mlp,test,16,170,0.2529411764705882,0.871079178592738,0.6181380021221498,0.78,0.24705882352941178,0.2578125,128
relative_kmeans,knn,val,2,152,0.8223684210526315,0.7933430261507676,0.07219041287878578,0.61,0.18421052631578946,0.8870967741935484,124
relative_kmeans,mlp,val,2,152,0.8223684210526315,0.9258144976584987,0.13167804229207755,0.88,0.21052631578947367,0.8916666666666667,120
relative_kmeans,torch_mlp,val,2,152,0.7894736842105263,0.9750783815979958,0.21330246133239647,0.9500000000000001,0.09868421052631579,0.8029197080291971,137
relative_kmeans,knn,val,4,152,0.4934210526315789,0.5591258611425917,0.1327223131366892,0.4,0.15789473684210525,0.53125,128
relative_kmeans,mlp,val,4,152,0.48026315789473684,0.6345560076886457,0.17630654882925492,0.51,0.28289473684210525,0.48623853211009177,109
relative_kmeans,torch_mlp,val,4,152,0.4276315789473684,0.9496106952428818,0.5285917473466772,0.99,0.28289473684210525,0.4954128440366973,109
relative_kmeans,knn,val,8,152,0.3684210526315789,0.42156870106974836,0.09569049360852254,0.26,0.02631578947368421,0.3716216216216216,148
relative_kmeans,mlp,val,8,152,0.34868421052631576,0.3676987260400814,0.050630666254081046,0.31,0.29605263157894735,0.40186915887850466,107
relative_kmeans,torch_mlp,val,8,152,0.40131578947368424,0.9088125603371545,0.5074967708634703,0.84,0.21710526315789475,0.4369747899159664,119
relative_kmeans,knn,val,16,152,0.2894736842105263,0.346335814707644,0.06840907003355472,0.26,0.13815789473684212,0.31297709923664124,131
relative_kmeans,mlp,val,16,152,0.2631578947368421,0.339868988766918,0.12040094903754207,0.22,0.2565789473684211,0.3008849557522124,113
relative_kmeans,torch_mlp,val,16,152,0.25,0.8722757830431587,0.6235591620206833,0.78,0.26973684210526316,0.27927927927927926,111
