replicate_seed,new_model_id,examples_per_label,new_model_evaluations,active_route_state_calibration,uniform_route_state_calibration,active_minus_uniform_mean_utility
0,DeepSeek-R1-Distill-Qwen-7B,1,16,0.6913793103448276,0.6258620689655172,0.065517
1,DeepSeek-R1-Distill-Qwen-7B,1,16,0.7137931034482758,0.596551724137931,0.117241
2,DeepSeek-R1-Distill-Qwen-7B,1,16,0.646551724137931,0.65,-0.003448
0,DeepSeek-R1-Distill-Qwen-7B,2,32,0.6672413793103448,0.7137931034482758,-0.046552
1,DeepSeek-R1-Distill-Qwen-7B,2,32,0.6689655172413793,0.7086206896551724,-0.039655
2,DeepSeek-R1-Distill-Qwen-7B,2,32,0.7017241379310345,0.6896551724137931,0.012069
1,DeepSeek-R1-Distill-Qwen-7B,4,62,0.7448275862068966,0.6706896551724137,0.074138
0,DeepSeek-R1-Distill-Qwen-7B,4,64,0.7189655172413794,0.7051724137931035,0.013793
2,DeepSeek-R1-Distill-Qwen-7B,4,64,0.7172413793103448,0.7086206896551724,0.008621
1,DeepSeek-R1-Distill-Qwen-7B,8,122,0.5982758620689655,0.7206896551724138,-0.122414
0,DeepSeek-R1-Distill-Qwen-7B,8,128,0.7362068965517241,0.7224137931034482,0.013793
2,DeepSeek-R1-Distill-Qwen-7B,8,128,0.6844827586206896,0.7206896551724138,-0.036207
0,Intern-S1-mini,1,16,0.6637931034482759,0.5913793103448276,0.072414
1,Intern-S1-mini,1,16,0.7051724137931035,0.7206896551724138,-0.015517
2,Intern-S1-mini,1,16,0.603448275862069,0.7189655172413794,-0.115517
0,Intern-S1-mini,2,32,0.7155172413793104,0.7034482758620689,0.012069
1,Intern-S1-mini,2,32,0.7155172413793104,0.7172413793103448,-0.001724
2,Intern-S1-mini,2,32,0.7275862068965517,0.6793103448275862,0.048276
0,Intern-S1-mini,4,64,0.7448275862068966,0.6844827586206896,0.060345
1,Intern-S1-mini,4,64,0.7017241379310345,0.7103448275862069,-0.008621
2,Intern-S1-mini,4,64,0.6827586206896552,0.6879310344827586,-0.005172
1,Intern-S1-mini,8,126,0.7327586206896551,0.7120689655172414,0.02069
2,Intern-S1-mini,8,127,0.7258620689655172,0.7258620689655172,0.0
0,Intern-S1-mini,8,128,0.7413793103448276,0.7413793103448276,0.0
0,Llama-3.1-8B-Instruct,1,16,0.6241379310344828,0.5482758620689655,0.075862
1,Llama-3.1-8B-Instruct,1,16,0.593103448275862,0.6137931034482759,-0.02069
2,Llama-3.1-8B-Instruct,1,16,0.6310344827586207,0.596551724137931,0.034483
1,Llama-3.1-8B-Instruct,2,30,0.6672413793103448,0.6293103448275862,0.037931
0,Llama-3.1-8B-Instruct,2,32,0.7224137931034482,0.7224137931034482,0.0
2,Llama-3.1-8B-Instruct,2,32,0.7137931034482758,0.7258620689655172,-0.012069
1,Llama-3.1-8B-Instruct,4,58,0.6241379310344828,0.7086206896551724,-0.084483
2,Llama-3.1-8B-Instruct,4,61,0.7120689655172414,0.7120689655172414,0.0
0,Llama-3.1-8B-Instruct,4,64,0.7258620689655172,0.7086206896551724,0.017241
1,Llama-3.1-8B-Instruct,8,113,0.7034482758620689,0.7137931034482758,-0.010345
2,Llama-3.1-8B-Instruct,8,117,0.7068965517241379,0.7258620689655172,-0.018966
0,Llama-3.1-8B-Instruct,8,125,0.7224137931034482,0.7379310344827587,-0.015517
0,MiniCPM4.1-8B,1,16,0.7379310344827587,0.646551724137931,0.091379
1,MiniCPM4.1-8B,1,16,0.7206896551724138,0.7293103448275862,-0.008621
2,MiniCPM4.1-8B,1,16,0.7327586206896551,0.7051724137931035,0.027586
0,MiniCPM4.1-8B,2,31,0.7362068965517241,0.6344827586206897,0.101724
2,MiniCPM4.1-8B,2,31,0.7172413793103448,0.7310344827586207,-0.013793
1,MiniCPM4.1-8B,2,32,0.7379310344827587,0.6362068965517241,0.101724
0,MiniCPM4.1-8B,4,59,0.7155172413793104,0.7310344827586207,-0.015517
2,MiniCPM4.1-8B,4,61,0.7344827586206897,0.75,-0.015517
1,MiniCPM4.1-8B,4,64,0.7258620689655172,0.7017241379310345,0.024138
0,MiniCPM4.1-8B,8,115,0.7362068965517241,0.7327586206896551,0.003448
2,MiniCPM4.1-8B,8,118,0.7482758620689656,0.7344827586206897,0.013793
1,MiniCPM4.1-8B,8,125,0.7293103448275862,0.7310344827586207,-0.001724
0,Qwen2.5-Coder-7B-Instruct,1,16,0.6603448275862069,0.6775862068965517,-0.017241
1,Qwen2.5-Coder-7B-Instruct,1,16,0.6137931034482759,0.6172413793103448,-0.003448
2,Qwen2.5-Coder-7B-Instruct,1,16,0.6517241379310345,0.6310344827586207,0.02069
2,Qwen2.5-Coder-7B-Instruct,2,31,0.7189655172413794,0.7155172413793104,0.003448
0,Qwen2.5-Coder-7B-Instruct,2,32,0.6810344827586207,0.6637931034482759,0.017241
1,Qwen2.5-Coder-7B-Instruct,2,32,0.7172413793103448,0.6224137931034482,0.094828
2,Qwen2.5-Coder-7B-Instruct,4,61,0.7086206896551724,0.6793103448275862,0.02931
1,Qwen2.5-Coder-7B-Instruct,4,63,0.7344827586206897,0.7086206896551724,0.025862
0,Qwen2.5-Coder-7B-Instruct,4,64,0.7413793103448276,0.6586206896551724,0.082759
2,Qwen2.5-Coder-7B-Instruct,8,121,0.7103448275862069,0.7034482758620689,0.006897
1,Qwen2.5-Coder-7B-Instruct,8,122,0.7344827586206897,0.7224137931034482,0.012069
0,Qwen2.5-Coder-7B-Instruct,8,127,0.7120689655172414,0.746551724137931,-0.034483
0,Qwen3-8B,1,16,0.7155172413793104,0.7344827586206897,-0.018966
1,Qwen3-8B,1,16,0.7137931034482758,0.7155172413793104,-0.001724
2,Qwen3-8B,1,16,0.6844827586206896,0.6913793103448276,-0.006897
0,Qwen3-8B,2,32,0.743103448275862,0.753448275862069,-0.010345
1,Qwen3-8B,2,32,0.6913793103448276,0.7120689655172414,-0.02069
2,Qwen3-8B,2,32,0.7086206896551724,0.7362068965517241,-0.027586
2,Qwen3-8B,4,62,0.7362068965517241,0.743103448275862,-0.006897
0,Qwen3-8B,4,64,0.7051724137931035,0.6982758620689655,0.006897
1,Qwen3-8B,4,64,0.743103448275862,0.743103448275862,0.0
2,Qwen3-8B,8,122,0.7224137931034482,0.7,0.022414
0,Qwen3-8B,8,128,0.6844827586206896,0.7241379310344828,-0.039655
1,Qwen3-8B,8,128,0.7379310344827587,0.7206896551724138,0.017241
