replicate_seed,new_model_id,examples_per_label,new_model_evaluations,active_route_state_calibration,dataset_stratified_calibration,active_minus_dataset_mean_utility
0,Qwen2.5-Coder-7B-Instruct,2,32,0.6810344827586207,0.6982758620689655,-0.017241
1,Qwen2.5-Coder-7B-Instruct,2,32,0.7172413793103448,0.7137931034482758,0.003448
2,Qwen2.5-Coder-7B-Instruct,4,61,0.7086206896551724,0.7189655172413794,-0.010345
1,Qwen2.5-Coder-7B-Instruct,4,63,0.7344827586206897,0.7275862068965517,0.006897
0,Qwen2.5-Coder-7B-Instruct,4,64,0.7413793103448276,0.7103448275862069,0.031034
2,Qwen2.5-Coder-7B-Instruct,8,121,0.7103448275862069,0.7241379310344828,-0.013793
1,Qwen2.5-Coder-7B-Instruct,8,122,0.7344827586206897,0.7258620689655172,0.008621
0,Qwen2.5-Coder-7B-Instruct,8,127,0.7120689655172414,0.7448275862068966,-0.032759
0,Qwen3-8B,1,16,0.7155172413793104,0.6931034482758621,0.022414
1,Qwen3-8B,1,16,0.7137931034482758,0.7103448275862069,0.003448
2,Qwen3-8B,1,16,0.6844827586206896,0.6844827586206896,0.0
0,Qwen3-8B,2,32,0.743103448275862,0.746551724137931,-0.003448
1,Qwen3-8B,2,32,0.6913793103448276,0.6982758620689655,-0.006897
2,Qwen3-8B,2,32,0.7086206896551724,0.7396551724137931,-0.031034
2,Qwen3-8B,4,62,0.7362068965517241,0.6982758620689655,0.037931
0,Qwen3-8B,4,64,0.7051724137931035,0.6896551724137931,0.015517
1,Qwen3-8B,4,64,0.743103448275862,0.7224137931034482,0.02069
2,Qwen3-8B,8,122,0.7224137931034482,0.7137931034482758,0.008621
0,Qwen3-8B,8,128,0.6844827586206896,0.7362068965517241,-0.051724
1,Qwen3-8B,8,128,0.7379310344827587,0.7344827586206897,0.003448
