replicate_seed,mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,new_model_id,examples_per_label,calibration_query_count,new_model_evaluations,labels_switching_to_new_model
0,0.7362068965517241,0.16034482758620688,0.7362068965517241,0.0042315146045316145,routecode_no_new_model,16,0.7007327586206896,0.7620689655172413,0.0,0.30075187969924816,1.0493895752741969,4.0,3.0098489711591987,Qwen3-8B,0,0,0,
0,0.7362068965517241,0.16034482758620688,0.7362068965517241,0.007728007780083808,random_route_state_calibration,16,0.7007327586206896,0.7620689655172413,0.0,0.30075187969924816,1.1445342791785404,4.0,3.0098489711591987,Qwen3-8B,1,16,16,1
0,0.6931034482758621,0.20344827586206896,0.6931034482758621,0.11733612572608826,dataset_stratified_calibration,16,0.6551724137931034,0.7310344827586207,0.0,0.11278195488721848,1.2918614712539134,4.0,3.0098489711591987,Qwen3-8B,1,16,16,4
0,0.6827586206896552,0.21379310344827587,0.6827586206896552,0.08324276308602924,embedding_cluster_calibration,16,0.6446551724137931,0.7138793103448275,0.0,0.06766917293233118,1.3699762749275477,4.0,3.0098489711591987,Qwen3-8B,1,16,16,8
0,0.7344827586206897,0.16206896551724137,0.7344827586206897,0.09868093997004222,uniform_route_state_calibration,16,0.7051724137931035,0.7699568965517241,0.0,0.2932330827067672,1.1385447608277468,4.0,3.0098489711591987,Qwen3-8B,1,16,16,12
0,0.7155172413793104,0.1810344827586207,0.7155172413793104,0.10529869206895158,active_route_state_calibration,16,0.685301724137931,0.7535344827586206,0.0,0.21052631578947403,1.1195422224669191,4.0,3.0098489711591987,Qwen3-8B,1,16,16,11
0,0.6068965517241379,0.2896551724137931,0.6068965517241379,0.2821027424195131,direct_retraining_budgeted_logistic_active_budget,,0.5741379310344827,0.6543534482758621,0.0,-0.2631578947368418,1.000046951403123,0.0,,Qwen3-8B,1,16,16,
0,0.7241379310344828,0.1724137931034483,0.7241379310344828,0.03262058259638508,random_route_state_calibration,16,0.6885775862068966,0.757801724137931,0.0,0.24812030075187988,1.5856013866340437,4.0,3.0098489711591987,Qwen3-8B,2,32,32,5
0,0.746551724137931,0.15,0.746551724137931,0.06867043235398723,dataset_stratified_calibration,16,0.7197844827586207,0.776853448275862,0.0,0.34586466165413543,1.60277377553589,4.0,3.0098489711591987,Qwen3-8B,2,32,32,4
0,0.7362068965517241,0.16034482758620688,0.7362068965517241,0.09321076596545086,embedding_cluster_calibration,16,0.7077155172413793,0.7733189655172413,0.0,0.30075187969924816,1.1139497566407486,4.0,3.0098489711591987,Qwen3-8B,2,32,32,9
0,0.753448275862069,0.14310344827586208,0.753448275862069,0.07481027747861228,uniform_route_state_calibration,16,0.7284051724137931,0.7844827586206896,0.0,0.3759398496240603,1.3504565519887672,4.0,3.0098489711591987,Qwen3-8B,2,32,32,8
0,0.743103448275862,0.15344827586206897,0.743103448275862,0.07503098560673342,active_route_state_calibration,16,0.7170689655172414,0.7725,0.0,0.330827067669173,1.5907543741493135,4.0,3.0098489711591987,Qwen3-8B,2,32,32,7
0,0.6068965517241379,0.2896551724137931,0.6068965517241379,0.2821027424195131,direct_retraining_budgeted_logistic_active_budget,,0.5741379310344827,0.6543534482758621,0.0,-0.2631578947368418,1.000046951403123,0.0,,Qwen3-8B,2,32,32,
0,0.7413793103448276,0.15517241379310345,0.7413793103448276,0.07713286585857007,random_route_state_calibration,16,0.7128879310344828,0.7698706896551724,0.0,0.32330827067669204,1.4394636099697709,4.0,3.0098489711591987,Qwen3-8B,4,64,64,7
0,0.6896551724137931,0.20689655172413793,0.6896551724137931,0.11535345586918483,dataset_stratified_calibration,16,0.653448275862069,0.7243103448275862,0.0,0.09774436090225605,1.128507697930688,4.0,3.0098489711591987,Qwen3-8B,4,64,64,7
0,0.7379310344827587,0.15862068965517243,0.7379310344827587,0.08538265615722779,embedding_cluster_calibration,16,0.7094396551724138,0.7716810344827586,0.0,0.3082706766917296,1.3535056789888027,4.0,3.0098489711591987,Qwen3-8B,4,64,64,8
0,0.6982758620689655,0.19827586206896552,0.6982758620689655,0.13666945802584887,uniform_route_state_calibration,16,0.6655172413793103,0.7344827586206897,0.0,0.1353383458646619,0.9556334523292487,4.0,3.0098489711591987,Qwen3-8B,4,64,64,10
0,0.7051724137931035,0.19137931034482758,0.7051724137931035,0.12446518205450634,active_route_state_calibration,16,0.6766810344827586,0.7336637931034482,0.0,0.16541353383458673,1.0141895807148262,4.0,3.0098489711591987,Qwen3-8B,4,64,64,10
0,0.6017241379310345,0.29482758620689653,0.6017241379310345,0.284595990968417,direct_retraining_budgeted_logistic_active_budget,,0.5688793103448275,0.6500862068965516,0.0,-0.28571428571428525,0.9886202284080923,0.0,,Qwen3-8B,4,64,64,
