sensitivity_name,sensitivity_k,sensitivity_alpha,method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max,recovered_gap_vs_oracle_mean
k_8_alpha_3p0,8,3.0,random_route_state_calibration,Qwen3-8B,1,2,0.711207,0.030479,0.689655,0.732759,8.0,8,8,0.151809
k_8_alpha_3p0,8,3.0,random_route_state_calibration,Qwen3-8B,4,2,0.762069,0.009753,0.755172,0.768966,32.0,32,32,0.384736
k_8_alpha_3p0,8,3.0,random_route_state_calibration,Qwen3-8B,8,2,0.761207,0.013411,0.751724,0.77069,64.0,64,64,0.379937
k_8_alpha_3p0,8,3.0,routecode_no_new_model,DeepSeek-R1-Distill-Qwen-7B,0,2,0.768103,0.003657,0.765517,0.77069,0.0,0,0,0.41196
k_8_alpha_3p0,8,3.0,routecode_no_new_model,Qwen2.5-Coder-7B-Instruct,0,2,0.694828,0.017068,0.682759,0.706897,0.0,0,0,0.077796
k_8_alpha_3p0,8,3.0,routecode_no_new_model,Qwen3-8B,0,2,0.746552,0.009753,0.739655,0.753448,0.0,0,0,0.314138
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.643103,0.09997,0.572414,0.713793,8.0,8,8,-0.153101
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.732759,0.053643,0.694828,0.77069,32.0,32,32,0.253045
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.760345,0.002438,0.758621,0.762069,64.0,64,64,0.37643
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.675,0.052423,0.637931,0.712069,8.0,8,8,-0.009782
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.767241,0.004877,0.763793,0.77069,32.0,32,32,0.408084
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.759483,0.006096,0.755172,0.763793,64.0,64,64,0.37237
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,Qwen3-8B,1,2,0.693103,0.01463,0.682759,0.703448,8.0,8,8,0.070044
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,Qwen3-8B,4,2,0.759483,0.015849,0.748276,0.77069,32.0,32,32,0.3732
k_8_alpha_3p0,8,3.0,uniform_route_state_calibration,Qwen3-8B,8,2,0.765517,0.0,0.765517,0.765517,64.0,64,64,0.400055
