sensitivity_name,sensitivity_k,sensitivity_alpha,method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max,recovered_gap_vs_oracle_mean
k_16_alpha_3p0,16,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.682759,0.053643,0.644828,0.72069,16.0,16,16,0.025563
k_16_alpha_3p0,16,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.749138,0.018287,0.736207,0.762069,63.0,62,64,0.324843
k_16_alpha_3p0,16,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.760345,0.002438,0.758621,0.762069,125.0,122,128,0.37643
k_16_alpha_3p0,16,3.0,embedding_cluster_calibration,Qwen3-8B,1,2,0.731897,0.001219,0.731034,0.732759,16.0,16,16,0.247139
k_16_alpha_3p0,16,3.0,embedding_cluster_calibration,Qwen3-8B,4,2,0.749138,0.006096,0.744828,0.753448,63.0,62,64,0.325766
k_16_alpha_3p0,16,3.0,embedding_cluster_calibration,Qwen3-8B,8,2,0.743103,0.009753,0.736207,0.75,125.0,122,128,0.29845
k_16_alpha_3p0,16,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.72069,0.046328,0.687931,0.753448,16.0,16,16,0.197859
k_16_alpha_3p0,16,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.747414,0.02804,0.727586,0.767241,64.0,64,64,0.31663
k_16_alpha_3p0,16,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.75,0.004877,0.746552,0.753448,125.0,122,128,0.329642
k_16_alpha_3p0,16,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.666379,0.123134,0.57931,0.753448,16.0,16,16,-0.055648
k_16_alpha_3p0,16,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.703448,0.012191,0.694828,0.712069,63.0,62,64,0.118125
k_16_alpha_3p0,16,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.755172,0.002438,0.753448,0.756897,125.0,122,128,0.352898
k_16_alpha_3p0,16,3.0,random_route_state_calibration,Qwen3-8B,1,2,0.687069,0.025602,0.668966,0.705172,16.0,16,16,0.044112
k_16_alpha_3p0,16,3.0,random_route_state_calibration,Qwen3-8B,4,2,0.712069,0.048766,0.677586,0.746552,63.0,62,64,0.155039
k_16_alpha_3p0,16,3.0,random_route_state_calibration,Qwen3-8B,8,2,0.741379,0.017068,0.72931,0.753448,125.0,122,128,0.290882
k_16_alpha_3p0,16,3.0,routecode_no_new_model,DeepSeek-R1-Distill-Qwen-7B,0,2,0.762931,0.003657,0.760345,0.765517,0.0,0,0,0.388151
