mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,new_model_id,examples_per_label,calibration_query_count,new_model_evaluations,labels_switching_to_new_model
0.7189655172413794,0.17758620689655172,0.7189655172413794,0.01739010686228115,routecode_no_new_model,16,0.6861206896551724,0.7474568965517241,0.0,0.22556390977443647,1.1883763717345073,4.0,2.4696439290975385,Qwen3-8B,0,0,0,
0.7172413793103448,0.1793103448275862,0.7172413793103448,0.09577606077077724,random_route_state_calibration,16,0.6896551724137931,0.7526293103448275,0.0,0.21804511278195501,1.6099359553700956,4.0,2.4696439290975385,Qwen3-8B,1,16,16,2
0.7206896551724138,0.17586206896551723,0.7206896551724138,0.10848245795794621,dataset_stratified_calibration,16,0.6913793103448276,0.756896551724138,0.0,0.23308270676691745,1.3973970573621064,4.0,2.4696439290975385,Qwen3-8B,1,16,16,3
0.7189655172413794,0.17758620689655172,0.7189655172413794,0.10571262687369387,embedding_cluster_calibration,16,0.6913793103448276,0.7527155172413792,0.0,0.22556390977443647,1.325944516382084,4.0,2.4696439290975385,Qwen3-8B,1,16,16,5
0.7241379310344828,0.1724137931034483,0.7241379310344828,0.11195051922786271,uniform_route_state_calibration,16,0.6973706896551723,0.7560775862068965,0.0,0.24812030075187988,0.879054658585491,4.0,2.4696439290975385,Qwen3-8B,1,16,16,10
0.6810344827586207,0.21551724137931033,0.6810344827586207,0.15773018668377922,active_route_state_calibration,16,0.6473706896551724,0.7155172413793104,0.0,0.060150375939849725,0.5759595634190912,4.0,2.4696439290975385,Qwen3-8B,1,16,16,8
0.6068965517241379,0.2896551724137931,0.6068965517241379,0.2821027424195131,direct_retraining_budgeted_logistic_active_budget,,0.5741379310344827,0.6543534482758621,0.0,-0.2631578947368418,1.000046951403123,0.0,,Qwen3-8B,1,16,16,
0.6879310344827586,0.20862068965517241,0.6879310344827586,0.1512013171301001,random_route_state_calibration,16,0.6499137931034482,0.7241379310344828,0.0,0.09022556390977458,0.6748474282856529,4.0,2.4696439290975385,Qwen3-8B,2,31,31,9
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.09154090473167835,dataset_stratified_calibration,16,0.7120689655172414,0.7707758620689654,0.0,0.30075187969924816,1.591576992180197,4.0,2.4696439290975385,Qwen3-8B,2,31,31,3
0.6827586206896552,0.21379310344827587,0.6827586206896552,0.15320866442696535,embedding_cluster_calibration,16,0.6490948275862068,0.7181465517241379,0.0,0.06766917293233118,0.6864856140299437,4.0,2.4696439290975385,Qwen3-8B,2,31,31,6
0.7086206896551724,0.1879310344827586,0.7086206896551724,0.03338766247295545,uniform_route_state_calibration,16,0.6775862068965517,0.7371120689655172,0.0,0.18045112781954917,1.5621120248674383,4.0,2.4696439290975385,Qwen3-8B,2,31,31,6
0.7189655172413794,0.17758620689655172,0.7189655172413794,0.022641284243546958,active_route_state_calibration,16,0.6862068965517242,0.7483620689655172,0.0,0.22556390977443647,1.4243948831479443,4.0,2.4696439290975385,Qwen3-8B,2,31,31,6
0.6068965517241379,0.2896551724137931,0.6068965517241379,0.2821027424195131,direct_retraining_budgeted_logistic_active_budget,,0.5741379310344827,0.6543534482758621,0.0,-0.2631578947368418,1.000046951403123,0.0,,Qwen3-8B,2,31,31,
0.7155172413793104,0.1810344827586207,0.7155172413793104,0.024828072240654614,random_route_state_calibration,16,0.6835775862068966,0.7440086206896551,0.0,0.21052631578947403,1.4268606938838586,4.0,2.4696439290975385,Qwen3-8B,4,61,61,5
0.6896551724137931,0.20689655172413793,0.6896551724137931,0.03387795284505673,dataset_stratified_calibration,16,0.653448275862069,0.7181465517241379,0.0,0.09774436090225605,1.4967352832093819,4.0,2.4696439290975385,Qwen3-8B,4,61,61,6
0.7310344827586207,0.16551724137931034,0.7310344827586207,0.1099820267557306,embedding_cluster_calibration,16,0.7059051724137931,0.7673275862068965,0.0,0.2781954887218047,1.1968956112556859,4.0,2.4696439290975385,Qwen3-8B,4,61,61,6
0.7379310344827587,0.15862068965517243,0.7379310344827587,0.09610100419966305,uniform_route_state_calibration,16,0.7120689655172414,0.7706896551724138,0.0,0.3082706766917296,1.2696460354676815,4.0,2.4696439290975385,Qwen3-8B,4,61,61,6
0.7396551724137931,0.15689655172413794,0.7396551724137931,0.0847392430033382,active_route_state_calibration,16,0.7155172413793104,0.7725,0.0,0.31578947368421056,1.4657292269488484,4.0,2.4696439290975385,Qwen3-8B,4,61,61,6
0.6068965517241379,0.2896551724137931,0.6068965517241379,0.2821027424195131,direct_retraining_budgeted_logistic_active_budget,,0.5741379310344827,0.6543534482758621,0.0,-0.2631578947368418,1.000046951403123,0.0,,Qwen3-8B,4,61,61,
0.7344827586206897,0.16206896551724137,0.7344827586206897,0.09851747598759142,random_route_state_calibration,16,0.7085344827586206,0.7715948275862069,0.0,0.2932330827067672,1.2055300595619411,4.0,2.4696439290975385,Qwen3-8B,8,121,121,6
0.7224137931034482,0.17413793103448275,0.7224137931034482,0.09713765028201603,dataset_stratified_calibration,16,0.692198275862069,0.7560775862068965,0.0,0.24060150375939843,1.524146908169475,4.0,2.4696439290975385,Qwen3-8B,8,121,121,3
0.7189655172413794,0.17758620689655172,0.7189655172413794,0.02227713276772004,embedding_cluster_calibration,16,0.6862068965517242,0.7483620689655172,0.0,0.22556390977443647,1.41500357793473,4.0,2.4696439290975385,Qwen3-8B,8,121,121,4
0.7224137931034482,0.17413793103448275,0.7224137931034482,0.014834874498469297,uniform_route_state_calibration,16,0.6913793103448276,0.7474568965517241,0.0,0.24060150375939843,1.355737478147397,4.0,2.4696439290975385,Qwen3-8B,8,121,121,4
0.7172413793103448,0.1793103448275862,0.7172413793103448,0.02874757516772873,active_route_state_calibration,16,0.6835775862068966,0.7405603448275861,0.0,0.21804511278195501,1.5724766822642189,4.0,2.4696439290975385,Qwen3-8B,8,121,121,5
0.6068965517241379,0.2896551724137931,0.6068965517241379,0.2838229471735296,direct_retraining_budgeted_logistic_active_budget,,0.5741379310344827,0.6543534482758621,0.0,-0.2631578947368418,0.9954716961324854,0.0,,Qwen3-8B,8,121,121,
