method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,recovered_gap_vs_oracle_mean,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max
dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,4,3,0.718966,0.008621,0.710345,0.727586,0.225564,62.666667,61,64
dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,8,3,0.731609,0.01148,0.724138,0.744828,0.280702,123.333333,121,127
dataset_stratified_calibration,Qwen3-8B,1,3,0.695977,0.013168,0.684483,0.710345,0.125313,16.0,16,16
dataset_stratified_calibration,Qwen3-8B,2,3,0.728161,0.02611,0.698276,0.746552,0.265664,32.0,32,32
dataset_stratified_calibration,Qwen3-8B,4,3,0.703448,0.016981,0.689655,0.722414,0.157895,63.333333,62,64
dataset_stratified_calibration,Qwen3-8B,8,3,0.728161,0.012473,0.713793,0.736207,0.265664,126.0,122,128
direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,1,3,0.675862,0.0,0.675862,0.675862,0.037594,16.0,16,16
direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,2,3,0.675862,0.0,0.675862,0.675862,0.037594,32.0,32,32
direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,4,3,0.675862,0.0,0.675862,0.675862,0.037594,63.333333,62,64
direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,8,3,0.675862,0.0,0.675862,0.675862,0.037594,126.0,122,128
direct_retraining_budgeted_logistic_active_budget,Intern-S1-mini,1,3,0.681034,0.0,0.681034,0.681034,0.06015,16.0,16,16
direct_retraining_budgeted_logistic_active_budget,Intern-S1-mini,2,3,0.681034,0.0,0.681034,0.681034,0.06015,32.0,32,32
direct_retraining_budgeted_logistic_active_budget,Intern-S1-mini,4,3,0.681034,0.0,0.681034,0.681034,0.06015,64.0,64,64
direct_retraining_budgeted_logistic_active_budget,Intern-S1-mini,8,3,0.68046,0.000995,0.67931,0.681034,0.057644,127.0,126,128
direct_retraining_budgeted_logistic_active_budget,Llama-3.1-8B-Instruct,1,3,0.675862,0.0,0.675862,0.675862,0.037594,16.0,16,16
direct_retraining_budgeted_logistic_active_budget,Llama-3.1-8B-Instruct,2,3,0.675862,0.0,0.675862,0.675862,0.037594,31.333333,30,32
direct_retraining_budgeted_logistic_active_budget,Llama-3.1-8B-Instruct,4,3,0.675862,0.0,0.675862,0.675862,0.037594,61.0,58,64
direct_retraining_budgeted_logistic_active_budget,Llama-3.1-8B-Instruct,8,3,0.677011,0.000995,0.675862,0.677586,0.042607,118.333333,113,125
direct_retraining_budgeted_logistic_active_budget,MiniCPM4.1-8B,1,3,0.668966,0.0,0.668966,0.668966,0.007519,16.0,16,16
direct_retraining_budgeted_logistic_active_budget,MiniCPM4.1-8B,2,3,0.667816,0.001991,0.665517,0.668966,0.002506,31.333333,31,32
direct_retraining_budgeted_logistic_active_budget,MiniCPM4.1-8B,4,3,0.667816,0.001991,0.665517,0.668966,0.002506,61.333333,59,64
direct_retraining_budgeted_logistic_active_budget,MiniCPM4.1-8B,8,3,0.666667,0.001991,0.665517,0.668966,-0.002506,119.333333,115,125
direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,1,3,0.666667,0.000995,0.665517,0.667241,-0.002506,16.0,16,16
direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,2,3,0.666667,0.000995,0.665517,0.667241,-0.002506,31.666667,31,32
direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,4,3,0.666092,0.000995,0.665517,0.667241,-0.005013,62.666667,61,64
