result_id,comparison,state_family,oracle_state_method,deployable_state_method,K,alpha,encoder_family,strong_encoder_status,query_oracle_mean_utility,query_oracle_mean_utility_ci_low,query_oracle_mean_utility_ci_high,best_single_mean_utility,best_single_mean_utility_ci_low,best_single_mean_utility_ci_high,oracle_state_mean_utility,oracle_state_mean_utility_ci_low,oracle_state_mean_utility_ci_high,deployable_state_mean_utility,deployable_state_mean_utility_ci_low,deployable_state_mean_utility_ci_high,state_observability_gap,state_observability_gap_ci_low,state_observability_gap_ci_high,query_oracle_gap,query_oracle_gap_ci_low,query_oracle_gap_ci_high,state_oracle_gap_vs_best_single,deployable_gap_vs_best_single,state_gap_closed,full_gap_closed_vs_query_oracle,oracle_state_recovered_gap_vs_oracle,deployable_recovered_gap_vs_oracle,label_accuracy,mean_confidence,evidence_source,interpretation,ece,status,reason,method,oracle_regret,mean_utility,mean_quality,normalized_cost,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,probe_scope,model_id,cache_status,readiness_reason,architecture,model_type,hidden_size,size_gb,local_path,state_predictor,embedding_source,embedding_dim,embedding_seconds,predictor_seconds,routing_invariant,config_path
llmrouterbench_32model,d2_embedding_centroid_alpha_0,d2_predictability_constrained,d2_joint_oracle_labels,d2_embedding_centroid,16.0,0.0,phase1_embedding_centroid,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8685831622176592,0.842864476386037,0.893223819301848,0.6591375770020534,0.6045687885010267,0.7003080082135523,0.20944558521560575,0.14255646817248468,0.28865503080082133,0.27926078028747414,0.21226899383983566,0.3555441478439425,0.01848049281314168,-0.19096509240246407,-10.333333333333336,-2.1627906976744233,0.2093023255813955,-2.1627906976744207,0.1498973305954825,0.7741267715542658,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_logistic_label_predictor_alpha_0,d2_predictability_constrained,d2_joint_oracle_labels,d2_logistic_label_predictor,16.0,0.0,phase1_logistic_label_predictor,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8685831622176592,0.842864476386037,0.893223819301848,0.6283367556468172,0.5800308008213553,0.6673511293634496,0.24024640657084195,0.17551334702258736,0.31319301848049275,0.31006160164271035,0.24522587268993834,0.3800821355236139,0.01848049281314168,-0.22176591375770027,-12.000000000000005,-2.5116279069767504,0.2093023255813955,-2.5116279069767478,0.0944558521560575,0.776943899417737,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_embedding_centroid_alpha_0p1,d2_predictability_constrained,d2_joint_oracle_labels,d2_embedding_centroid,16.0,0.1,phase1_embedding_centroid,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8603696098562629,0.8315195071868583,0.8840349075975359,0.7597535934291582,0.7267967145790555,0.7957392197125257,0.10061601642710472,0.035780287474332595,0.1572381930184804,0.17864476386036943,0.11683778234086228,0.2333162217659137,0.010266940451745366,-0.09034907597535935,-8.800000000000013,-1.0232558139534906,0.1162790697674418,-1.0232558139534893,0.1786447638603696,0.794558482240935,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_logistic_label_predictor_alpha_0p1,d2_predictability_constrained,d2_joint_oracle_labels,d2_logistic_label_predictor,16.0,0.1,phase1_logistic_label_predictor,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8603696098562629,0.8315195071868583,0.8840349075975359,0.7515400410677618,0.7155544147843943,0.7927104722792607,0.10882956878850103,0.03880903490759757,0.1684804928131416,0.18685831622176574,0.11986652977412726,0.2445585215605749,0.010266940451745366,-0.09856262833675566,-9.600000000000016,-1.1162790697674445,0.1162790697674418,-1.116279069767443,0.1396303901437371,0.7903451997847468,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_embedding_centroid_alpha_0p3,d2_predictability_constrained,d2_joint_oracle_labels,d2_embedding_centroid,16.0,0.3,phase1_embedding_centroid,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8418891170431212,0.8182238193018481,0.8706365503080082,0.7885010266940452,0.757700205338809,0.8162731006160164,0.05338809034907599,0.0019507186858316317,0.11293634496919924,0.14989733059548238,0.09630390143737155,0.2024127310061602,-0.008213552361396315,-0.061601642710472304,0.0,-0.697674418604653,-0.0930232558139537,-0.6976744186046521,0.3429158110882956,0.8416060012824146,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_logistic_label_predictor_alpha_0p3,d2_predictability_constrained,d2_joint_oracle_labels,d2_logistic_label_predictor,16.0,0.3,phase1_logistic_label_predictor,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8418891170431212,0.8182238193018481,0.8706365503080082,0.7761806981519507,0.7339322381930184,0.8121663244353182,0.06570841889117052,0.0060574948665298445,0.1367043121149898,0.1622176591375769,0.10041067761806977,0.22618069815195074,-0.008213552361396315,-0.07392197125256683,0.0,-0.8372093023255843,-0.0930232558139537,-0.8372093023255832,0.2854209445585215,0.8280517490030624,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_embedding_centroid_alpha_1,d2_predictability_constrained,d2_joint_oracle_labels,d2_embedding_centroid,16.0,1.0,phase1_embedding_centroid,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8336755646817249,0.8038501026694045,0.8614476386036961,0.75564681724846,0.7155544147843943,0.7886036960985626,0.07802874743326493,0.015246406570841864,0.1458932238193018,0.18275154004106764,0.12397330595482536,0.2445585215605749,-0.01642710472279263,-0.09445585215605756,0.0,-1.0697674418604681,-0.1860465116279074,-1.0697674418604668,0.5236139630390144,0.8842924005151208,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_logistic_label_predictor_alpha_1,d2_predictability_constrained,d2_joint_oracle_labels,d2_logistic_label_predictor,16.0,1.0,phase1_logistic_label_predictor,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.8336755646817249,0.8038501026694045,0.8614476386036961,0.757700205338809,0.7237679671457906,0.7998459958932238,0.07597535934291588,0.0040041067761806826,0.1376796714579055,0.1806981519507186,0.11273100616016418,0.23634496919917858,-0.01642710472279263,-0.09240246406570851,0.0,-1.0465116279069802,-0.1860465116279074,-1.0465116279069788,0.4394250513347023,0.8193725883451887,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_embedding_centroid_alpha_3,d2_predictability_constrained,d2_joint_oracle_labels,d2_embedding_centroid,16.0,3.0,phase1_embedding_centroid,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.837782340862423,0.8090349075975359,0.8614476386036961,0.8316221765913757,0.7905544147843943,0.8655544147843942,0.006160164271047264,-0.056519507186858275,0.07089322381930185,0.10677618069815187,0.047022587268993776,0.16955852156057494,-0.012320328542094527,-0.01848049281314179,0.0,-0.20930232558139703,-0.1395348837209311,-0.2093023255813967,0.7864476386036962,0.9417852970954194,phase1_existing_result_tables,route state is partly observable but still below the query-oracle frontier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_32model,d2_logistic_label_predictor_alpha_3,d2_predictability_constrained,d2_joint_oracle_labels,d2_logistic_label_predictor,16.0,3.0,phase1_logistic_label_predictor,not_run_in_m0,0.9383983572895276,0.912577002053388,0.9601129363449692,0.8501026694045175,0.8140143737166324,0.8800308008213551,0.837782340862423,0.8090349075975359,0.8614476386036961,0.839835728952772,0.8100102669404518,0.8717145790554415,-0.002053388090349051,-0.06267967145790554,0.05143737166324436,0.09856262833675555,0.04086242299794651,0.15010266940451744,-0.012320328542094527,-0.010266940451745477,0.0,-0.1162790697674432,-0.1395348837209311,-0.116279069767443,0.7063655030800822,0.8791914067668928,phase1_existing_result_tables,route state is partly observable but still below the query-oracle frontier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
