query_id,probe_cost
math500:test:6,0.12980130850011484
math500:test:7,0.0923143085001684
math500:test:8,0.1187998715001886
math500:test:9,0.13736393650009812
math500:test:13,0.22082301899988852
math500:test:16,0.1989871205000891
math500:test:24,0.20082027599986577
math500:test:43,0.08542144700005337
math500:test:46,0.10001353999979255
math500:test:50,0.09963850099990124
math500:test:58,0.10043938399991204
math500:test:61,0.1491829164998362
math500:test:69,0.11582348300008925
math500:test:71,0.10821574550012703
math500:test:77,0.2128179745001962
math500:test:84,0.2754986439997974
math500:test:85,0.213554608500046
math500:test:92,0.08496165299994572
math500:test:95,0.16058992850012693
math500:test:99,0.19754681399981563
math500:test:100,0.2667479260000018
math500:test:102,0.0905553290001626
math500:test:104,0.2500312404999422
math500:test:109,0.1136316565000252
math500:test:110,0.1077213389998633
math500:test:124,0.1310766655000316
math500:test:129,0.09957479700011573
aime:hybrid:4,0.1315640695001239
aime:hybrid:16,0.1573273855000316
aime:hybrid:17,0.2214757854999134
aime:hybrid:18,0.19118493399980616
aime:hybrid:22,0.13022102699998506
aime:hybrid:27,0.19763339850011288
aime:hybrid:30,0.10143737800018426
aime:hybrid:31,0.20595814350001637
aime:hybrid:34,0.22078251750006347
aime:hybrid:36,0.22269948299979478
aime:hybrid:37,0.1591729329999289
aime:hybrid:39,0.2211356615000368
aime:hybrid:44,0.24236335200013673
aime:hybrid:53,0.22945334599988018
