k,state_id,n_queries,train_queries,val_queries,test_queries,mean_query_to_centroid_cosine,top_benchmark,top_benchmark_frac,top_domain,top_domain_frac,mean_qwen4b_quality,qwen4b_success_rate,mean_local_valid_count,mean_local_missing_count,mean_local_unique_answer_count,mean_local_vote_frac,mean_local_vote_margin,mean_local_vote_entropy,mean_local_all_agree,mean_small_valid_count,mean_small_unique_answer_count,mean_medium_valid_count,mean_medium_unique_answer_count,mean_small_medium_agree,mean_small_medium_disagree,mean_q4_q8_agree,mean_q4_q14_agree,mean_q8_q14_agree,mean_q14_q32_agree,mean_q32_sc_agree,mean_sc_vote_frac,mean_sc_vote_margin,mean_sc_vote_entropy,mean_sc_all_samples_agree,mean_q4_lp_logprob_mean,mean_q4_lp_logprob_min,mean_q4_lp_logprob_margin_mean,mean_q4_lp_logprob_margin_min,mean_q4_lp_logprob_first_token_margin
16,u00,182,108,28,46,0.45661840261504655,aime,0.24175824175824176,math,0.5384615384615384,0.038461538461538464,0.038461538461538464,5.197802197802198,0.8021978021978022,3.659340659340659,0.44926739926739917,0.21831501831501832,1.6705533792378624,0.04395604395604396,2.0,1.6263736263736264,2.0,1.620879120879121,0.09340659340659341,0.9065934065934066,0.37362637362637363,0.09340659340659341,0.1043956043956044,0.3791208791208791,0.2857142857142857,0.6703296703296703,0.4432234432234433,0.8263571662435738,0.31868131868131866,-0.03680346654299061,-0.29343237819477586,5.173173099205944,0.21565934015274213,2.7575549316163346
16,u01,60,43,11,6,0.5896294085278535,bbh,0.2833333333333333,math,0.4,1.0,1.0,5.016666666666667,0.9833333333333333,1.15,0.97,0.9433333333333332,0.10707412097777008,0.8666666666666667,2.0,1.0,2.0,1.0166666666666666,0.9833333333333333,0.016666666666666666,1.0,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.8666666666666667,0.95,0.9111111111111111,0.12935673619524599,0.8833333333333333,-0.01159697269073781,-0.1635031153758367,5.213932285666003,0.19999999950329464,2.7437499886787697
16,u02,81,45,18,18,0.39787498988169423,mmlupro,0.345679012345679,code,0.4567901234567901,0.0,0.0,5.012345679012346,0.9876543209876543,2.4074074074074074,0.5641975308641974,0.20905349794238678,1.1602742446023677,0.0,2.0,1.308641975308642,2.0,1.0,0.0,1.0,0.691358024691358,0.0,0.0,1.0,0.6666666666666666,0.9053497942386832,0.8189300411522633,0.25453760306762485,0.7407407407407407,-0.043913969527872014,-0.37054674400959486,5.990306700350613,0.2067901258483345,4.217592592413213
16,u03,40,22,6,12,0.5810148369808755,math500,0.5,math,0.725,0.0,0.0,5.175,0.825,4.075,0.39499999999999996,0.18583333333333335,1.8711295325028274,0.0,2.0,1.8,2.0,1.8,0.125,0.875,0.2,0.125,0.075,0.2,0.2,0.6416666666666666,0.3833333333333333,0.9116792713922294,0.225,-0.022729101569198877,-0.2808358628302813,8.110839830733095,0.3843750014901161,3.3156250051959213
16,u04,63,33,15,15,0.6046156062116588,humaneval,0.7142857142857143,code,0.873015873015873,1.0,1.0,5.015873015873016,0.9841269841269841,1.1904761904761905,0.9619047619047618,0.9301587301587302,0.1351956499683847,0.8412698412698413,2.0,1.0,2.0,1.1111111111111112,0.9365079365079365,0.06349206349206349,1.0,0.9365079365079365,0.9365079365079365,0.8888888888888888,0.9047619047619048,0.9735449735449735,0.9523809523809523,0.06888650798229562,0.9365079365079365,-0.007742595170967,-0.0620604744033208,1.3186383904849883,0.04563492110797337,0.740079358975424
16,u05,45,25,8,12,0.5525198475452614,gsm8k,0.7333333333333333,math_easy,0.7333333333333333,1.0,1.0,5.022222222222222,0.9777777777777777,3.1333333333333333,0.5177777777777778,0.2614814814814815,1.4779197574285046,0.0,2.0,1.0,2.0,1.8444444444444446,0.2222222222222222,0.7777777777777778,1.0,0.2222222222222222,0.2222222222222222,0.15555555555555556,0.2,0.7185185185185186,0.511111111111111,0.7195322226709415,0.37777777777777777,-0.013699476838403918,-0.1320770608054267,2.8736979130205573,0.08333333333333333,1.394444442235791
16,u06,37,25,7,5,0.4371439477007577,mmlupro,0.3783783783783784,broad_knowledge,0.3783783783783784,0.08108108108108109,0.08108108108108109,5.054054054054054,0.9459459459459459,3.3513513513513513,0.4828828828828829,0.23063063063063066,1.5827816662803182,0.0,2.0,1.4324324324324325,2.0,2.0,0.08108108108108109,0.918918918918919,0.5675675675675675,0.08108108108108109,0.0,0.0,0.2972972972972973,0.8108108108108109,0.6486486486486486,0.5007925679184003,0.5135135135135135,-0.06860529705038547,-0.5554744731131438,9.157991951551365,0.38513513664538795,4.385135106234949
16,u07,41,26,1,14,0.6093415118353027,bbh,0.5609756097560976,reasoning,0.5609756097560976,1.0,1.0,5.024390243902439,0.975609756097561,2.341463414634146,0.7146341463414635,0.4967479674796747,0.9543524807087851,0.0,2.0,2.0,2.0,1.146341463414634,1.0,0.0,0.0,1.0,0.0,0.8536585365853658,0.7560975609756098,0.8536585365853657,0.7479674796747967,0.3724677847815048,0.6829268292682927,-0.011487588989696013,-0.11961383281684504,2.8892911560160743,0.13414634073652873,1.789634128831472
16,u08,41,28,6,7,0.46296804397763114,humaneval,0.2926829268292683,code,0.5853658536585366,0.0,0.0,5.024390243902439,0.975609756097561,2.3658536585365852,0.7097560975609757,0.49186991869918695,0.97257363921371,0.0,2.0,2.0,2.0,1.1951219512195121,0.024390243902439025,0.975609756097561,0.0,0.024390243902439025,0.9024390243902439,0.8048780487804879,0.7317073170731707,0.9105691056910568,0.8292682926829268,0.2402347562734527,0.7560975609756098,-0.02191116898332371,-0.18377618818748287,2.9921874935817065,0.048780486351106225,2.320121932068147
16,u09,39,25,9,5,0.44410423599232185,gpqa,0.41025641025641024,science,0.41025641025641024,0.05128205128205128,0.05128205128205128,5.0,1.0,3.2564102564102564,0.4717948717948717,0.1948717948717949,1.5511395691242948,0.0,2.0,1.435897435897436,2.0,2.0,0.15384615384615385,0.8461538461538461,0.5641025641025641,0.15384615384615385,0.2564102564102564,0.0,0.3333333333333333,0.7948717948717948,0.6239316239316238,0.5392970089168322,0.48717948717948717,-0.07194514078880576,-0.47170565984187984,6.053485561562417,0.15064102182021508,2.8141025665988937
16,u10,33,22,3,8,0.48254520940079193,mbpp,0.3939393939393939,code,0.5151515151515151,0.0,0.0,5.0,1.0,2.515151515151515,0.5696969696969696,0.24242424242424243,1.1998865793687132,0.0,2.0,1.393939393939394,2.0,1.1818181818181819,0.09090909090909091,0.9090909090909091,0.6060606060606061,0.09090909090909091,0.06060606060606061,0.8181818181818182,0.9090909090909091,0.9696969696969697,0.9494949494949496,0.07585631317501956,0.9393939393939394,-0.0050933061817996185,-0.0673892827648105,2.139796395709778,0.18181818136663147,1.1439394056810308
16,u11,64,34,20,10,0.537512875856978,livemathbench,0.40625,math,0.84375,0.046875,0.046875,5.578125,0.421875,4.421875,0.36197916666666663,0.15625,1.9839972574814175,0.03125,2.0,1.8125,2.0,1.828125,0.0625,0.9375,0.1875,0.0625,0.0625,0.171875,0.28125,0.5885416666666666,0.32291666666666663,1.023433659428838,0.203125,-0.01921336739239768,-0.18394350307062268,3.7662658626862378,0.1250000004656613,1.6953124803045299
16,u12,29,15,8,6,0.514709113329784,mbpp,0.4482758620689655,code,0.7241379310344828,1.0,1.0,5.0,1.0,2.310344827586207,0.6965517241379311,0.4551724137931034,0.9613473189208502,0.0,2.0,2.0,2.0,1.2758620689655173,0.7931034482758621,0.20689655172413793,0.0,0.7931034482758621,0.034482758620689655,0.7241379310344828,0.7931034482758621,0.9195402298850573,0.8505747126436781,0.2129807472756415,0.7931034482758621,-0.012083365698926892,-0.14717697172329344,3.3141163764636095,0.10775861966198888,1.4913793137951565
16,u13,20,13,4,3,0.5747738181442357,gsm8k,0.4,math_easy,0.4,0.75,0.75,5.0,1.0,2.6,0.61,0.34,1.188694969562842,0.0,2.0,1.25,2.0,2.0,0.1,0.9,0.75,0.1,0.0,0.0,0.3,0.6666666666666666,0.4666666666666667,0.8038095837900656,0.4,-0.019713735553049568,-0.21009153723716736,5.600585930449343,0.29999999403953553,3.256249978714737
16,u14,16,12,3,1,0.536262597821469,gsm8k,0.625,math_easy,0.625,0.0,0.0,5.0625,0.9375,3.5625,0.4708333333333333,0.24791666666666667,1.6609178492563812,0.0,2.0,2.0,2.0,1.6875,0.0625,0.9375,0.0,0.0625,0.3125,0.3125,0.375,0.7083333333333333,0.5,0.7406015629507225,0.375,-0.020792370481127732,-0.128651840146631,3.073730464390768,0.37499999487772584,0.9531250050204108
16,u15,23,16,5,2,0.5085741347795533,gsm8k,0.4782608695652174,math_easy,0.4782608695652174,1.0,1.0,5.043478260869565,0.9565217391304348,3.652173913043478,0.4579710144927536,0.24202898550724647,1.7075345543543552,0.0,2.0,2.0,2.0,1.9130434782608696,0.0,1.0,0.0,0.0,0.0,0.08695652173913043,0.5652173913043478,0.8115942028985508,0.6666666666666667,0.48621558002369114,0.5652173913043478,-0.0076909430644547085,-0.0845213924413142,3.3022248570690222,0.2608695752594782,2.1793478284102816
24,u00,174,101,28,45,0.45474259567254327,aime,0.2471264367816092,math,0.5402298850574713,0.034482758620689655,0.034482758620689655,5.195402298850575,0.8045977011494253,3.6436781609195403,0.45459770114942527,0.22643678160919536,1.6605270270165808,0.04597701149425287,2.0,1.6206896551724137,2.0,1.6264367816091954,0.09770114942528736,0.9022988505747126,0.3793103448275862,0.09770114942528736,0.10919540229885058,0.3735632183908046,0.2988505747126437,0.6704980842911877,0.4425287356321839,0.8264685349773446,0.3160919540229885,-0.035693802821103716,-0.2875825942750892,5.101371252350021,0.209770114583916,2.737787342127536
