query_id,probe_cost
math500:test:6,0.18303029300009074
math500:test:7,0.12242224500017983
math500:test:8,0.1749630290001478
math500:test:9,0.1814466029999021
math500:test:13,0.37072100799991675
math500:test:16,0.2789266780002072
math500:test:24,0.31761583399958543
math500:test:43,0.11578078299986737
math500:test:46,0.10814618799994423
math500:test:50,0.137607132999794
math500:test:58,0.13085630600009246
math500:test:61,0.1752626439998239
math500:test:69,0.16067444000011163
math500:test:71,0.13931564400008212
math500:test:77,0.37062098800038074
math500:test:84,0.36213090399994324
math500:test:85,0.3707648219999537
math500:test:92,0.11520229499989364
math500:test:95,0.23971793500004787
math500:test:99,0.3031496299997925
math500:test:100,0.34171735199983594
math500:test:102,0.12042658800043136
math500:test:104,0.37705385599997315
math500:test:109,0.1724122599996881
math500:test:110,0.13533158200008621
math500:test:124,0.19909471499988649
math500:test:129,0.1297551110000459
aime:hybrid:4,0.19133999799998855
aime:hybrid:16,0.2586930019998436
aime:hybrid:17,0.371116126000059
aime:hybrid:18,0.3119032719996903
aime:hybrid:22,0.19017590799978643
aime:hybrid:27,0.3220153079999509
aime:hybrid:30,0.13186189500030743
aime:hybrid:31,0.34103487500000845
aime:hybrid:34,0.3717345649999952
aime:hybrid:36,0.372243672999728
aime:hybrid:37,0.2471506009997538
aime:hybrid:39,0.37160344500011705
aime:hybrid:44,0.3744938110000912
aime:hybrid:53,0.37977479400001174
